lh.aparc.area	lh_bankssts_area	lh_caudalanteriorcingulate_area	lh_caudalmiddlefrontal_area	lh_cuneus_area	lh_entorhinal_area	lh_fusiform_area	lh_inferiorparietal_area	lh_inferiortemporal_area	lh_isthmuscingulate_area	lh_lateraloccipital_area	lh_lateralorbitofrontal_area	lh_lingual_area	lh_medialorbitofrontal_area	lh_middletemporal_area	lh_parahippocampal_area	lh_paracentral_area	lh_parsopercularis_area	lh_parsorbitalis_area	lh_parstriangularis_area	lh_pericalcarine_area	lh_postcentral_area	lh_posteriorcingulate_area	lh_precentral_area	lh_precuneus_area	lh_rostralanteriorcingulate_area	lh_rostralmiddlefrontal_area	lh_superiorfrontal_area	lh_superiorparietal_area	lh_superiortemporal_area	lh_supramarginal_area	lh_frontalpole_area	lh_temporalpole_area	lh_transversetemporal_area	lh_insula_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-0011	920.0	638.0	1742.0	1507.0	558.0	3208.0	4631.0	3345.0	948.0	4889.0	2514.0	2576.0	1696.0	3333.0	680.0	1248.0	1369.0	752.0	1452.0	1413.0	3827.0	1073.0	4810.0	3839.0	710.0	5646.0	7078.0	6013.0	3407.0	3218.0	265.0	513.0	348.0	2458.0	82618.4	1194611.0	1707267.820145
sub-0012	1069.0	703.0	2804.0	1467.0	540.0	3305.0	4599.0	3779.0	889.0	4973.0	2660.0	3093.0	2023.0	3287.0	652.0	1446.0	1465.0	779.0	1488.0	1126.0	4410.0	1250.0	5192.0	4081.0	757.0	5922.0	7871.0	5700.0	3975.0	3839.0	239.0	503.0	417.0	2440.0	88743.3	1239983.0	1744162.518335
sub-0013	1104.0	542.0	2276.0	1385.0	522.0	3087.0	5588.0	3953.0	1118.0	6591.0	2924.0	3304.0	2017.0	3522.0	599.0	1344.0	1673.0	755.0	1466.0	1287.0	3809.0	1346.0	5094.0	3903.0	843.0	5681.0	7603.0	5969.0	4079.0	3541.0	265.0	433.0	403.0	2462.0	90473.6	1195138.0	1670965.707713
sub-0014	1052.0	523.0	2086.0	1992.0	451.0	3425.0	4440.0	3834.0	1298.0	6113.0	3073.0	3532.0	1867.0	3308.0	629.0	1424.0	2098.0	872.0	1758.0	1794.0	4704.0	1159.0	5294.0	4450.0	801.0	6379.0	8177.0	6914.0	4428.0	5040.0	312.0	524.0	510.0	2706.0	96959.5	1330912.0	1922755.793476
sub-0015	1093.0	535.0	2154.0	1293.0	606.0	3237.0	5449.0	3510.0	965.0	4895.0	3092.0	2902.0	1868.0	3784.0	694.0	1405.0	2335.0	908.0	1650.0	1273.0	4321.0	1131.0	4941.0	4198.0	1205.0	4694.0	7801.0	6396.0	4024.0	4684.0	223.0	428.0	384.0	2767.0	90839.6	1276578.0	1735724.798317
sub-0016	1281.0	482.0	1603.0	1518.0	357.0	3433.0	4081.0	3313.0	897.0	5672.0	2576.0	2873.0	1748.0	2931.0	698.0	1298.0	1760.0	778.0	1632.0	1427.0	4001.0	1173.0	4755.0	3391.0	564.0	6252.0	6658.0	5444.0	4254.0	4256.0	268.0	529.0	473.0	2366.0	84732.0	1242580.0	1606513.8614
sub-0017	1465.0	1069.0	2620.0	1342.0	453.0	3508.0	6020.0	3783.0	1083.0	5674.0	3209.0	2497.0	2520.0	3823.0	671.0	1549.0	2098.0	716.0	1525.0	1095.0	4364.0	1591.0	5444.0	3900.0	1112.0	6649.0	8377.0	5851.0	4709.0	4173.0	291.0	510.0	445.0	2508.0	96622.4	1437465.0	2021737.160453
sub-0018	1046.0	712.0	3121.0	1610.0	682.0	3485.0	4652.0	3964.0	1373.0	5939.0	3225.0	3677.0	1933.0	3668.0	795.0	1455.0	2085.0	850.0	1598.0	2006.0	4827.0	1378.0	5952.0	4468.0	1089.0	6557.0	8562.0	6209.0	4740.0	5457.0	281.0	545.0	553.0	3059.0	101545.0	1366174.0	1818427.767445
sub-0019	891.0	395.0	1455.0	1420.0	416.0	2654.0	3382.0	3193.0	847.0	4416.0	2202.0	3071.0	1553.0	3105.0	612.0	1170.0	1265.0	674.0	1076.0	1349.0	3353.0	883.0	4274.0	3148.0	726.0	4920.0	6487.0	4475.0	3728.0	3199.0	231.0	410.0	414.0	1974.0	73365.9	1028699.0	1420433.913594
sub-0020	1011.0	501.0	2050.0	1414.0	401.0	3041.0	4075.0	3129.0	905.0	4566.0	2710.0	3186.0	1632.0	2917.0	651.0	1263.0	1484.0	689.0	1538.0	1340.0	3591.0	1114.0	4496.0	3201.0	821.0	5481.0	6945.0	4686.0	3601.0	4193.0	218.0	438.0	499.0	2419.0	80198.0	1097813.0	1116386.637573
sub-0021	933.0	677.0	2668.0	1831.0	485.0	3538.0	3713.0	3276.0	1119.0	7004.0	2776.0	3544.0	2035.0	3116.0	556.0	1319.0	1757.0	782.0	1385.0	1713.0	4305.0	1241.0	5531.0	3582.0	930.0	7570.0	7992.0	5175.0	4417.0	5318.0	279.0	532.0	486.0	2430.0	94007.2	1307087.0	1888793.448063
sub-0022	756.0	593.0	2856.0	1583.0	400.0	3701.0	4106.0	3668.0	1171.0	5409.0	2655.0	3056.0	1939.0	3605.0	730.0	1282.0	1988.0	771.0	1359.0	1359.0	3978.0	1335.0	4463.0	3778.0	746.0	6338.0	7453.0	5465.0	3828.0	4369.0	230.0	439.0	395.0	2341.0	88144.5	1163759.0	1644684.158322
sub-0023	1072.0	659.0	2705.0	1782.0	363.0	2944.0	5397.0	3813.0	869.0	5315.0	3128.0	3024.0	2223.0	3417.0	703.0	1604.0	1842.0	660.0	1366.0	1434.0	4372.0	1187.0	4553.0	4723.0	1150.0	6002.0	7805.0	7413.0	3859.0	4679.0	276.0	423.0	410.0	2597.0	93671.2	1261876.0	1804893.717628
sub-0024	1076.0	608.0	2346.0	1497.0	498.0	3036.0	4880.0	3258.0	1051.0	5416.0	2364.0	2515.0	1994.0	2879.0	600.0	1337.0	1675.0	577.0	1203.0	1144.0	4398.0	1327.0	4768.0	3741.0	845.0	4987.0	7188.0	5375.0	3829.0	3360.0	282.0	489.0	397.0	2227.0	83155.4	1118986.0	1643269.313583
sub-0025	729.0	659.0	2028.0	1566.0	341.0	2867.0	3916.0	2702.0	937.0	4911.0	2432.0	2994.0	1746.0	2717.0	573.0	1180.0	1680.0	561.0	1087.0	1382.0	3530.0	1126.0	4771.0	3759.0	877.0	5373.0	6180.0	5407.0	3458.0	3201.0	251.0	433.0	401.0	2325.0	78096.2	1068488.0	1465085.356993
sub-0026	1009.0	581.0	2061.0	1652.0	484.0	3178.0	5141.0	3186.0	1035.0	4812.0	2581.0	3105.0	1830.0	3343.0	548.0	1314.0	1785.0	622.0	1472.0	1511.0	4130.0	1229.0	4330.0	3751.0	1199.0	5422.0	6946.0	5547.0	3714.0	3710.0	260.0	434.0	376.0	2536.0	84829.2	1088793.0	1532717.570346
sub-0027	1450.0	639.0	2203.0	1694.0	687.0	3588.0	5727.0	4302.0	1458.0	5988.0	2732.0	3465.0	2407.0	3818.0	812.0	1302.0	2067.0	845.0	1856.0	1427.0	4896.0	1214.0	5305.0	4082.0	1104.0	7457.0	8052.0	5469.0	5401.0	5739.0	300.0	580.0	785.0	2901.0	101752.0	1345361.0	1813622.09153
sub-0028	1064.0	533.0	2529.0	1554.0	517.0	3104.0	4818.0	3398.0	915.0	5195.0	2828.0	2615.0	1950.0	3080.0	544.0	1192.0	1580.0	620.0	1354.0	1207.0	3945.0	1028.0	5096.0	4273.0	960.0	5146.0	8016.0	5025.0	4100.0	4109.0	204.0	389.0	479.0	2152.0	85506.7	1102873.0	1522160.282978
sub-0029	958.0	605.0	2169.0	1414.0	353.0	2970.0	3677.0	3430.0	853.0	4479.0	2588.0	2928.0	2116.0	3371.0	631.0	1456.0	1414.0	613.0	1379.0	1283.0	4321.0	1178.0	4937.0	3659.0	1100.0	5462.0	7470.0	5516.0	4270.0	4445.0	269.0	441.0	549.0	2520.0	84811.3	1192209.0	1708574.067385
sub-0030	1023.0	563.0	2687.0	1679.0	429.0	2758.0	5062.0	4056.0	936.0	5822.0	2845.0	2767.0	2013.0	3790.0	602.0	1312.0	1546.0	766.0	1436.0	1653.0	3918.0	1152.0	4819.0	4182.0	914.0	6878.0	7749.0	5509.0	4133.0	3675.0	276.0	411.0	412.0	2562.0	90317.0	1267112.0	1811818.846742
sub-0031	1035.0	537.0	2161.0	1529.0	463.0	3401.0	4178.0	2840.0	789.0	5628.0	2890.0	2718.0	1901.0	3244.0	698.0	1218.0	1889.0	697.0	1489.0	1309.0	3802.0	1050.0	4427.0	3512.0	819.0	5481.0	8012.0	5170.0	4196.0	4936.0	259.0	462.0	457.0	2514.0	85666.1	1155135.0	1617388.007545
sub-0032	1197.0	797.0	2226.0	1751.0	542.0	3559.0	5236.0	4036.0	1159.0	6406.0	2994.0	3211.0	2201.0	3812.0	703.0	1407.0	1857.0	767.0	1489.0	1332.0	4574.0	1134.0	4546.0	4126.0	1117.0	5837.0	8074.0	5201.0	4259.0	3530.0	244.0	467.0	546.0	2522.0	92855.8	1295955.0	1772926.966109
sub-0033	991.0	558.0	2082.0	1225.0	417.0	2780.0	4151.0	3338.0	935.0	5112.0	2556.0	2773.0	1791.0	3299.0	657.0	1666.0	1433.0	798.0	1389.0	979.0	4482.0	1217.0	5540.0	3269.0	812.0	6104.0	7853.0	4879.0	4333.0	3412.0	226.0	443.0	487.0	2269.0	84238.2	1120140.0	1590808.412243
sub-0034	1069.0	484.0	2141.0	1447.0	351.0	2990.0	4304.0	3276.0	973.0	5355.0	2843.0	2973.0	1925.0	3296.0	607.0	1216.0	1603.0	822.0	1636.0	1164.0	4471.0	1352.0	5129.0	3808.0	869.0	5219.0	6380.0	5398.0	3808.0	3745.0	244.0	404.0	384.0	2457.0	84132.7	1158355.0	1722431.472151
sub-0035	1298.0	814.0	2065.0	1596.0	416.0	3767.0	5222.0	3868.0	1058.0	5893.0	2995.0	3896.0	2544.0	4353.0	648.0	1364.0	1774.0	795.0	1623.0	1654.0	4771.0	1408.0	5423.0	4116.0	996.0	6268.0	7715.0	5952.0	4703.0	5121.0	293.0	418.0	585.0	2617.0	98026.4	1266172.0	1303140.161366
sub-0036	982.0	624.0	2247.0	1717.0	341.0	3132.0	4849.0	3538.0	973.0	4837.0	3128.0	2911.0	1875.0	3274.0	592.0	1382.0	1733.0	810.0	1478.0	1558.0	3870.0	1105.0	4811.0	4168.0	1013.0	5994.0	8233.0	6103.0	4344.0	4213.0	273.0	444.0	513.0	2459.0	89523.9	1185176.0	1690529.353187
sub-0037	845.0	638.0	2001.0	1225.0	710.0	2890.0	4456.0	3190.0	1062.0	5139.0	2761.0	3085.0	2140.0	2606.0	720.0	1266.0	1487.0	817.0	1404.0	1062.0	4027.0	1149.0	4767.0	3930.0	963.0	6699.0	7779.0	5619.0	3978.0	3449.0	274.0	543.0	426.0	2251.0	85354.9	1260345.0	1762522.169334
sub-0038	1203.0	666.0	2427.0	1431.0	550.0	3227.0	5905.0	4361.0	1162.0	6206.0	3164.0	2996.0	2056.0	4463.0	716.0	1497.0	1603.0	763.0	1354.0	1240.0	4133.0	1152.0	4628.0	4709.0	1101.0	6132.0	8078.0	6066.0	4386.0	3988.0	282.0	525.0	426.0	2489.0	95082.8	1313497.0	1908608.093269
sub-0039	1396.0	795.0	2407.0	1677.0	726.0	3618.0	5970.0	4090.0	1107.0	5817.0	3337.0	3551.0	2611.0	4025.0	804.0	1650.0	2155.0	761.0	1442.0	1430.0	4337.0	1139.0	4912.0	4176.0	1086.0	6652.0	8312.0	6139.0	4343.0	4863.0	312.0	515.0	497.0	2721.0	99346.0	1405558.0	1991161.630707
sub-0040	892.0	606.0	2502.0	1931.0	496.0	3145.0	3873.0	2802.0	917.0	6050.0	3097.0	3062.0	1991.0	3039.0	609.0	1321.0	1614.0	885.0	1627.0	1774.0	4396.0	1087.0	4657.0	4004.0	1030.0	6361.0	7792.0	5064.0	4069.0	4554.0	260.0	432.0	502.0	2617.0	89053.7	1101223.0	1458229.049622
sub-0041	871.0	540.0	2010.0	1539.0	640.0	3539.0	4593.0	4223.0	1005.0	5041.0	2613.0	3139.0	1624.0	3471.0	562.0	1364.0	1434.0	672.0	1276.0	1395.0	3900.0	979.0	4703.0	3781.0	810.0	5744.0	7440.0	5636.0	3158.0	3508.0	252.0	536.0	292.0	2577.0	84852.7	1272176.0	1714159.947424
sub-0042	909.0	671.0	2581.0	1567.0	510.0	3752.0	4099.0	3557.0	960.0	5272.0	3335.0	3370.0	2321.0	3236.0	725.0	1500.0	1705.0	871.0	1430.0	1650.0	4591.0	1352.0	5350.0	4398.0	1013.0	7164.0	8851.0	7457.0	3812.0	5459.0	288.0	528.0	417.0	2444.0	97117.2	1326070.0	1856705.727164
sub-0043	1148.0	539.0	2744.0	1504.0	486.0	3408.0	4330.0	3400.0	788.0	5474.0	3236.0	3000.0	2067.0	3000.0	637.0	1384.0	1657.0	820.0	1626.0	1318.0	3725.0	1071.0	5008.0	3637.0	920.0	6414.0	8509.0	5660.0	4237.0	4840.0	238.0	445.0	529.0	2729.0	90518.5	1257649.0	1513276.1204
sub-0044	1114.0	965.0	2436.0	1686.0	480.0	3241.0	5027.0	3540.0	823.0	4553.0	2853.0	3134.0	2152.0	3206.0	533.0	1541.0	1289.0	685.0	1022.0	1356.0	4727.0	1484.0	5458.0	4199.0	1108.0	6330.0	7706.0	6092.0	4192.0	4021.0	292.0	440.0	470.0	2333.0	90474.8	1193209.0	1468002.877136
sub-0045	868.0	477.0	1568.0	1628.0	489.0	2940.0	5116.0	2797.0	1074.0	5362.0	2247.0	3247.0	1709.0	2497.0	681.0	1376.0	1147.0	662.0	941.0	1643.0	4019.0	1066.0	4606.0	3747.0	580.0	5310.0	6331.0	6436.0	3144.0	3245.0	278.0	404.0	330.0	1953.0	79915.8	1090944.0	1530878.713819
sub-0046	1378.0	552.0	2293.0	1584.0	554.0	3385.0	4888.0	3607.0	952.0	5315.0	3054.0	3127.0	1882.0	3441.0	648.0	1425.0	1407.0	762.0	1406.0	1341.0	4134.0	1079.0	4978.0	4353.0	895.0	6335.0	8195.0	5493.0	4207.0	4468.0	284.0	399.0	450.0	2505.0	90771.9	1160547.0	1634381.143677
sub-0047	957.0	642.0	1968.0	1608.0	518.0	3155.0	3861.0	3383.0	992.0	3982.0	2590.0	3150.0	1904.0	3218.0	657.0	1153.0	1411.0	697.0	1320.0	1453.0	3954.0	1067.0	4334.0	4113.0	777.0	5889.0	6308.0	5218.0	3570.0	4438.0	244.0	459.0	460.0	2371.0	81748.9	1153788.0	1565252.440102
sub-0048	1425.0	847.0	3264.0	1478.0	546.0	3491.0	5267.0	3673.0	1041.0	4494.0	2872.0	2830.0	2032.0	4036.0	800.0	1614.0	2041.0	772.0	1909.0	1340.0	4687.0	1296.0	5462.0	4398.0	987.0	7343.0	9003.0	6123.0	4540.0	5543.0	294.0	475.0	405.0	3022.0	99331.2	1339154.0	1939637.004362
sub-0049	957.0	466.0	1841.0	861.0	469.0	2753.0	3469.0	3104.0	748.0	3934.0	2101.0	2213.0	1630.0	2892.0	666.0	1312.0	1327.0	593.0	1013.0	903.0	3393.0	964.0	4159.0	3081.0	668.0	5055.0	8028.0	4055.0	3488.0	3674.0	245.0	446.0	378.0	1968.0	72844.0	969618.0	1179663.602216
sub-0050	977.0	773.0	2431.0	1518.0	537.0	2994.0	4245.0	3349.0	1009.0	4863.0	2559.0	2707.0	1948.0	2816.0	689.0	1259.0	1539.0	641.0	1337.0	1526.0	3556.0	1170.0	4215.0	3993.0	780.0	5784.0	6627.0	5078.0	3976.0	3801.0	245.0	410.0	461.0	2701.0	82511.5	1176473.0	1641305.96793
sub-0051	1062.0	568.0	2645.0	1298.0	365.0	2928.0	3631.0	3129.0	978.0	4044.0	2295.0	2314.0	1720.0	3285.0	708.0	947.0	1665.0	585.0	1128.0	1066.0	3622.0	1069.0	4742.0	3329.0	697.0	5456.0	6885.0	5518.0	3629.0	4406.0	275.0	417.0	446.0	2067.0	78917.3	1077107.0	1553705.335345
sub-0052	1056.0	552.0	2497.0	1633.0	524.0	3008.0	4730.0	3447.0	970.0	5813.0	2622.0	3107.0	2052.0	3531.0	623.0	1464.0	1418.0	642.0	1109.0	1334.0	4144.0	1007.0	4874.0	3903.0	789.0	5109.0	7838.0	4852.0	3843.0	4217.0	241.0	443.0	451.0	2304.0	86142.8	1231332.0	1794545.892208
sub-0053	887.0	593.0	2007.0	1909.0	548.0	2886.0	3993.0	4109.0	969.0	5163.0	2929.0	2833.0	1719.0	3267.0	782.0	1412.0	2138.0	772.0	1455.0	1502.0	4528.0	1157.0	4720.0	4123.0	1013.0	6049.0	7502.0	5800.0	3996.0	4242.0	229.0	553.0	425.0	2753.0	88960.8	1235594.0	1713934.322662
sub-0054	1026.0	480.0	2526.0	1622.0	556.0	3117.0	4690.0	3433.0	1121.0	5486.0	3146.0	3713.0	1675.0	3001.0	674.0	1546.0	2082.0	713.0	1624.0	1631.0	4447.0	1252.0	4995.0	4859.0	753.0	6433.0	8660.0	6161.0	4023.0	4394.0	296.0	504.0	459.0	3112.0	94203.0	1290464.0	1819957.354736
sub-0055	1345.0	655.0	2810.0	1280.0	603.0	3954.0	5262.0	3913.0	1092.0	5852.0	3078.0	3595.0	2234.0	3620.0	684.0	1553.0	1854.0	853.0	1689.0	1257.0	4600.0	1307.0	5483.0	4211.0	957.0	6948.0	7669.0	5700.0	4676.0	6131.0	264.0	476.0	541.0	2745.0	98885.4	1301863.0	1841692.931949
sub-0056	1072.0	606.0	2293.0	1575.0	394.0	3301.0	5117.0	3309.0	1084.0	5438.0	3141.0	2771.0	2164.0	2959.0	676.0	1200.0	1736.0	838.0	1461.0	1263.0	4208.0	1166.0	5213.0	4052.0	864.0	6394.0	7944.0	5825.0	4294.0	4731.0	300.0	514.0	566.0	2407.0	90877.2	1223181.0	1726790.267153
sub-0057	1489.0	397.0	2330.0	2006.0	351.0	3177.0	5152.0	3500.0	1211.0	5403.0	3227.0	3571.0	2101.0	3160.0	677.0	1248.0	2168.0	723.0	1450.0	2044.0	4418.0	1283.0	4951.0	4137.0	776.0	5870.0	6748.0	4572.0	3887.0	3766.0	224.0	589.0	507.0	2512.0	89615.6	1221261.0	1791998.130622
sub-0058	982.0	479.0	2256.0	1128.0	348.0	3164.0	3844.0	3726.0	913.0	4665.0	2841.0	2340.0	1880.0	3367.0	660.0	1459.0	1586.0	660.0	1535.0	1050.0	4036.0	1063.0	5006.0	3791.0	1078.0	5706.0	8438.0	4370.0	4538.0	3353.0	212.0	388.0	555.0	2740.0	84147.8	1257269.0	1844712.602704
sub-0059	898.0	811.0	2699.0	1807.0	572.0	2981.0	3820.0	3492.0	1097.0	5184.0	2799.0	2956.0	1899.0	3011.0	665.0	1452.0	2233.0	702.0	1640.0	1554.0	4946.0	1122.0	5710.0	4425.0	991.0	6152.0	8680.0	5573.0	3681.0	4024.0	230.0	561.0	431.0	2350.0	91146.0	1212318.0	1715027.582758
sub-0060	1143.0	960.0	3181.0	1574.0	369.0	3406.0	5333.0	4458.0	1023.0	5620.0	3059.0	3290.0	2035.0	4227.0	808.0	1656.0	2354.0	659.0	1922.0	1410.0	4035.0	1418.0	5139.0	4656.0	988.0	6684.0	8691.0	6672.0	4361.0	4456.0	262.0	441.0	441.0	2884.0	99608.0	1341550.0	1955028.391749
sub-0061	866.0	487.0	2225.0	1721.0	588.0	3654.0	4850.0	3613.0	1256.0	6054.0	2812.0	3168.0	1870.0	3424.0	626.0	1338.0	1953.0	772.0	1643.0	1270.0	3793.0	1053.0	4275.0	4571.0	812.0	5809.0	8493.0	5721.0	4055.0	4279.0	232.0	465.0	476.0	2375.0	90597.2	1155865.0	1530478.13145
sub-0062	967.0	724.0	2949.0	1589.0	394.0	2981.0	4378.0	3058.0	1029.0	6297.0	3062.0	3788.0	2031.0	3304.0	526.0	1572.0	1868.0	711.0	1480.0	1667.0	4431.0	1408.0	5704.0	4187.0	792.0	6611.0	7981.0	6258.0	4891.0	4265.0	260.0	448.0	581.0	2200.0	94360.8	1176317.0	1630497.984109
sub-0063	1146.0	622.0	2244.0	1895.0	333.0	3652.0	5863.0	3983.0	1088.0	6654.0	2780.0	3684.0	1787.0	3805.0	783.0	1356.0	1580.0	688.0	1090.0	1354.0	4253.0	1314.0	5622.0	4140.0	939.0	5520.0	7639.0	5742.0	4740.0	5257.0	239.0	465.0	592.0	2878.0	95714.8	1262379.0	1833881.478629
sub-0064	1084.0	647.0	2077.0	1503.0	435.0	3010.0	4485.0	3242.0	863.0	4693.0	2606.0	2759.0	1914.0	3125.0	582.0	1279.0	1664.0	673.0	1351.0	1153.0	4096.0	1311.0	4553.0	3686.0	812.0	5851.0	6294.0	5174.0	4084.0	4506.0	206.0	399.0	539.0	2198.0	82849.5	1190483.0	1602494.02826
sub-0065	959.0	452.0	1889.0	1418.0	554.0	3207.0	3769.0	3635.0	838.0	5098.0	2431.0	3208.0	1701.0	3192.0	601.0	1172.0	1578.0	692.0	1334.0	1059.0	3713.0	1097.0	4872.0	3552.0	764.0	5556.0	6667.0	5753.0	4125.0	4490.0	217.0	500.0	502.0	2329.0	82919.1	1188109.0	1613425.615346
sub-0066	1163.0	661.0	2707.0	2363.0	637.0	4404.0	6093.0	4329.0	1122.0	8572.0	3204.0	3061.0	2687.0	3587.0	815.0	1442.0	1944.0	990.0	1490.0	1782.0	4755.0	1340.0	5052.0	4812.0	846.0	7524.0	8565.0	6460.0	4970.0	4238.0	283.0	656.0	605.0	2534.0	105695.0	1392196.0	1996163.825521
sub-0067	962.0	386.0	2603.0	1432.0	449.0	3204.0	4605.0	3111.0	768.0	5465.0	2891.0	2374.0	1840.0	2771.0	614.0	1276.0	1482.0	700.0	1209.0	1053.0	3714.0	1018.0	4309.0	3607.0	909.0	5916.0	7242.0	5409.0	3934.0	3371.0	226.0	384.0	444.0	2097.0	81767.3	1075718.0	1494282.069998
sub-0068	1166.0	631.0	2761.0	1325.0	452.0	3161.0	4681.0	2842.0	981.0	5013.0	2691.0	2762.0	1991.0	3095.0	583.0	1407.0	1779.0	703.0	1431.0	1272.0	4373.0	1426.0	5536.0	3686.0	809.0	4764.0	7340.0	5387.0	3659.0	4382.0	244.0	426.0	392.0	2205.0	85339.0	1209364.0	1652767.024274
sub-0069	1119.0	443.0	1924.0	1361.0	310.0	3101.0	5432.0	3560.0	957.0	4673.0	2773.0	2965.0	2195.0	3700.0	580.0	1449.0	1578.0	671.0	1534.0	1271.0	4213.0	1231.0	4531.0	3791.0	592.0	5247.0	7261.0	5322.0	4148.0	3685.0	293.0	364.0	493.0	2759.0	85520.5	1157446.0	1227526.817404
sub-0070	956.0	610.0	2129.0	1408.0	476.0	3030.0	4771.0	2984.0	1014.0	4123.0	2500.0	2657.0	1960.0	2617.0	620.0	1143.0	1509.0	663.0	1255.0	1157.0	4130.0	1323.0	4419.0	3464.0	849.0	4884.0	6298.0	5682.0	3668.0	3595.0	249.0	432.0	450.0	2234.0	79256.8	1030235.0	1522426.310774
