Measure:volume	wm-lh-bankssts	wm-lh-caudalanteriorcingulate	wm-lh-caudalmiddlefrontal	wm-lh-cuneus	wm-lh-entorhinal	wm-lh-fusiform	wm-lh-inferiorparietal	wm-lh-inferiortemporal	wm-lh-isthmuscingulate	wm-lh-lateraloccipital	wm-lh-lateralorbitofrontal	wm-lh-lingual	wm-lh-medialorbitofrontal	wm-lh-middletemporal	wm-lh-parahippocampal	wm-lh-paracentral	wm-lh-parsopercularis	wm-lh-parsorbitalis	wm-lh-parstriangularis	wm-lh-pericalcarine	wm-lh-postcentral	wm-lh-posteriorcingulate	wm-lh-precentral	wm-lh-precuneus	wm-lh-rostralanteriorcingulate	wm-lh-rostralmiddlefrontal	wm-lh-superiorfrontal	wm-lh-superiorparietal	wm-lh-superiortemporal	wm-lh-supramarginal	wm-lh-frontalpole	wm-lh-temporalpole	wm-lh-transversetemporal	wm-lh-insula	wm-rh-bankssts	wm-rh-caudalanteriorcingulate	wm-rh-caudalmiddlefrontal	wm-rh-cuneus	wm-rh-entorhinal	wm-rh-fusiform	wm-rh-inferiorparietal	wm-rh-inferiortemporal	wm-rh-isthmuscingulate	wm-rh-lateraloccipital	wm-rh-lateralorbitofrontal	wm-rh-lingual	wm-rh-medialorbitofrontal	wm-rh-middletemporal	wm-rh-parahippocampal	wm-rh-paracentral	wm-rh-parsopercularis	wm-rh-parsorbitalis	wm-rh-parstriangularis	wm-rh-pericalcarine	wm-rh-postcentral	wm-rh-posteriorcingulate	wm-rh-precentral	wm-rh-precuneus	wm-rh-rostralanteriorcingulate	wm-rh-rostralmiddlefrontal	wm-rh-superiorfrontal	wm-rh-superiorparietal	wm-rh-superiortemporal	wm-rh-supramarginal	wm-rh-frontalpole	wm-rh-temporalpole	wm-rh-transversetemporal	wm-rh-insula	Left-UnsegmentedWhiteMatter	Right-UnsegmentedWhiteMatter	lhCerebralWhiteMatterVol	rhCerebralWhiteMatterVol	CerebralWhiteMatterVol	MaskVol	EstimatedTotalIntraCranialVol
sub-0011	3257.8	2822.4	5615.5	2681.2	1108.5	6837.7	9861.1	6585.3	3619.3	10582.2	6268.8	4975.9	3235.4	6484.9	1642.9	3795.5	3081.2	1139.2	3178.4	3354.8	7026.5	4196.2	13335.4	9872.6	2208.4	11968.9	17498.8	13068.4	6507.3	8181.1	288.9	763.7	825.9	9764.9	3206.8	2359.2	4473.8	2246.1	854.8	7015.7	13162.0	6264.0	3657.6	9556.0	6496.4	5025.9	4122.9	6805.8	1774.8	4978.9	2237.2	1359.6	2769.9	3135.6	7453.2	4261.4	13321.4	9861.4	1939.9	12591.1	17962.4	12173.2	6379.6	9123.8	313.1	690.2	467.7	9088.5	24039.6	25434.2	216222.818549	218007.636566	434230.455115	1543892.0	1707267.820145
sub-0012	3550.0	3223.9	7730.5	2698.5	1244.5	6880.5	9695.9	7645.7	3596.2	10039.5	6829.4	5557.4	4088.3	5526.3	1691.6	4646.2	3378.7	1157.4	3806.2	2879.8	8095.4	5072.1	14520.8	9479.2	2268.8	13271.9	19480.6	12752.1	7734.6	8641.0	258.5	771.2	1077.2	9752.9	2407.2	3232.7	7553.7	2504.5	1126.7	6027.6	11750.8	6395.6	2691.0	10532.0	6934.9	4863.0	3923.4	6391.4	1665.3	5806.8	3290.3	1414.3	3501.3	2654.5	7446.7	4959.2	13665.9	9252.9	2358.1	13776.8	20432.6	12565.0	6603.5	8438.3	361.5	833.1	667.1	9394.2	27265.1	29054.6	234555.703733	231611.663431	466167.367164	1565381.0	1744162.518335
sub-0013	2348.2	2517.9	6070.2	2514.4	1118.3	5720.0	11330.0	7770.1	4405.1	12282.9	6818.6	5992.6	3797.0	6571.6	1553.5	4063.1	3390.8	1193.2	3244.9	3194.2	6302.8	4709.0	12620.6	9468.1	2648.5	12125.5	16715.2	12382.4	8183.9	7210.3	263.6	582.6	559.6	10071.2	3293.3	2684.8	5596.0	3058.7	865.5	5879.4	12390.0	6567.8	3673.1	10937.8	6726.8	6748.0	4269.5	6455.4	1745.9	3716.1	3240.3	1475.6	3057.4	3576.6	6620.4	4337.3	12296.4	10114.7	1919.5	13452.4	16071.6	11694.1	6932.7	8217.9	441.8	656.7	492.6	10520.8	28990.1	27208.6	226052.926154	224320.703559	450373.629713	1536467.0	1670965.707713
sub-0014	3366.4	2600.9	6055.0	4033.9	1069.4	7682.7	10345.4	7516.7	4992.3	13046.8	7791.4	6677.4	3734.6	6135.3	1669.5	4419.9	4560.6	1481.4	3744.2	4971.3	9360.4	4816.7	15103.1	11480.3	2423.0	14458.7	19639.0	14968.2	9721.3	11406.1	410.5	768.9	860.7	11663.6	2528.9	3000.1	6210.5	4128.8	1094.3	7030.1	14035.8	6766.1	4132.7	14659.3	7598.1	7108.3	4628.9	7021.8	1727.6	4465.2	4181.3	1847.4	3820.2	4917.2	8127.0	4445.0	15643.8	12274.7	2315.4	14830.7	19010.0	13282.3	7854.8	10136.6	461.9	708.5	546.8	11227.0	36300.1	37765.0	268544.88564	266379.789881	534924.67552	1673627.0	1922755.793476
sub-0015	3287.6	2705.0	6830.7	2337.8	1156.5	6671.0	13286.3	5946.9	3671.1	9722.2	7588.6	5575.8	3295.3	6846.1	1564.6	4612.3	4960.4	1178.0	4230.6	3185.3	8330.0	4559.4	13942.8	10922.0	3635.5	11289.2	19707.0	15201.7	7756.5	10057.7	277.9	596.3	703.1	11086.1	3385.0	3261.7	6012.8	2910.0	740.6	6375.8	13154.5	5930.0	2756.3	11191.2	7733.8	6351.3	4194.8	6665.5	1572.6	5272.1	4282.0	1582.1	4078.5	3476.0	7986.9	5032.6	14284.7	11058.4	1998.8	14856.2	18765.9	13414.3	6974.3	11130.9	443.6	517.7	555.9	10142.7	32420.2	33461.8	246537.388838	248816.269378	495353.658215	1621750.0	1735724.798317
sub-0016	3310.8	2253.1	5232.2	2766.5	737.6	7916.0	9046.3	5552.3	3556.1	12355.2	6874.2	5511.7	2836.0	5719.6	1699.6	3960.0	3994.0	1159.9	3740.8	4045.5	8023.8	4598.9	13368.3	8871.4	2662.8	15181.9	16384.6	11366.2	9571.6	9609.8	307.8	840.7	670.5	9964.4	3036.3	2477.1	4951.8	2714.2	567.9	6796.5	11722.7	6046.7	2850.4	11287.5	6505.1	6167.8	4109.3	7441.6	1627.5	3919.0	3317.5	1566.5	3467.3	4246.5	7535.1	3947.1	13910.7	9661.4	1802.6	14248.2	15578.2	12136.9	7376.9	9118.4	421.1	722.5	594.5	9693.8	33110.2	34701.4	236857.761861	235066.825611	471924.587472	1505571.0	1606513.8614
sub-0017	4972.4	3475.7	8751.2	2622.0	1177.3	8362.9	13954.4	8298.6	4329.1	12650.0	8779.4	5207.8	4951.2	7406.4	1794.7	4743.0	5753.4	1232.7	3993.1	2813.7	9041.7	6735.9	17276.0	11438.0	4262.0	16601.3	25114.7	14669.5	10383.9	10793.1	333.1	773.5	1407.3	10631.5	3900.8	3470.7	7778.6	2615.8	806.2	8901.8	13570.9	7670.4	3561.7	12406.8	8873.5	5980.7	4879.4	7452.3	1509.6	6319.1	5861.2	1556.9	4668.2	3343.7	9872.3	5953.4	17731.1	11045.9	2463.7	16332.7	25570.5	15629.0	10425.4	11881.3	480.1	934.5	617.6	12003.1	47805.9	48014.4	301978.516847	302852.804436	604831.321283	1803017.0	2021737.160453
sub-0018	2884.1	3208.0	8425.2	2768.4	1526.6	8138.7	9934.2	7521.8	4975.7	11867.8	7982.5	6445.3	4423.7	6816.4	2068.4	4329.7	4537.6	1360.6	3695.5	4976.5	9193.8	5236.4	16184.5	11217.5	2826.0	15258.2	20948.7	14365.4	11035.1	13109.6	294.7	778.3	853.5	11952.1	3860.8	3182.8	7025.9	3531.0	1137.4	6089.1	14113.4	7227.2	4515.6	11801.3	8913.9	6691.0	4655.5	7250.0	1647.8	5855.2	4206.2	1843.6	4296.9	4921.1	8227.6	5501.1	15518.7	12152.4	2223.8	16688.3	19906.0	12726.0	7660.9	11574.8	304.4	844.6	668.7	11587.1	31989.5	33333.7	271935.919272	269469.134184	541405.053456	1728277.0	1818427.767445
sub-0019	3172.7	2163.7	5094.1	2758.0	968.7	5857.3	7511.9	6497.3	3589.5	9171.2	6455.5	6278.0	3263.2	5364.2	1519.9	3388.6	2562.0	1078.8	2551.3	3347.3	6085.0	3591.9	12175.8	7230.0	2303.8	11444.6	16867.1	10815.0	7494.4	7033.2	280.7	521.7	766.7	8581.1	2534.7	2289.6	5435.8	2698.9	864.8	6673.9	10240.4	5802.1	2998.8	9101.8	6841.7	5872.1	3997.3	6861.3	1453.0	4690.7	2473.9	1130.5	2599.6	3481.7	5667.4	3695.8	12454.7	7424.5	1340.5	11652.0	15202.6	10739.4	6203.2	7167.7	446.3	603.5	452.2	8287.3	28757.4	29058.9	206230.840936	207400.004084	413630.84502	1290524.0	1420433.913594
sub-0020	3163.4	2359.2	6619.4	2765.9	1070.6	6549.2	9143.1	6058.3	3874.6	9348.1	6830.2	6018.6	3512.2	5166.7	1691.8	3938.5	3488.3	986.7	3879.9	3556.2	6661.6	4338.9	13178.6	7850.5	2725.8	12271.7	18182.0	12029.4	7851.9	9191.9	233.4	621.8	865.7	10585.8	2294.5	2548.7	6450.3	2482.7	1044.7	6319.5	10712.8	5773.7	2996.3	11049.5	7662.3	6596.7	3919.7	6363.2	1650.6	4376.9	3785.8	1296.6	3894.8	3179.5	6619.1	4665.4	12407.4	8827.8	1510.0	12665.4	17529.0	11734.0	6768.9	8370.3	277.4	718.8	510.3	9490.4	32416.1	30258.3	228625.033777	227999.182458	456624.216235	1363324.0	1116386.637573
sub-0021	2203.2	3015.0	7822.0	3667.9	1049.7	7060.9	8385.8	6345.5	4311.9	14443.2	7068.6	7048.2	4371.1	6589.9	1464.0	3773.6	3802.0	1326.9	3275.4	4990.0	8629.3	5209.5	14651.9	9040.2	3215.6	17080.4	20848.9	12138.5	9490.0	11619.3	321.7	832.0	764.5	10598.7	3045.7	3305.6	5872.2	4222.1	818.4	6331.4	12637.0	7121.1	4387.3	13872.3	7258.6	7926.6	5034.9	7276.2	1621.8	5306.8	3565.1	1679.0	5048.1	4801.2	7872.6	4349.2	13317.5	9608.4	2067.0	17913.6	19755.3	10861.6	7370.8	8179.7	507.4	743.2	609.1	10257.0	40801.0	39726.5	266361.36803	262496.506259	528857.874289	1667980.0	1888793.448063
sub-0022	2652.9	2592.5	9636.2	3201.8	820.1	7458.2	9102.0	7902.9	4525.4	11641.5	7097.5	6221.2	4190.2	6359.6	1699.9	3826.3	4414.2	1191.6	3068.5	3579.3	7455.0	4796.2	12911.9	8680.6	2331.1	14208.4	19735.1	13244.4	8460.7	10376.1	239.1	596.1	737.2	9331.7	2615.2	2635.9	7742.2	2856.9	529.2	6924.5	12314.2	6502.9	3423.1	11577.4	6978.0	6555.8	4305.2	7133.6	1743.9	4858.1	4229.3	1623.8	3539.7	3311.4	8149.2	4149.0	13880.4	8941.8	1865.5	14268.6	20152.4	14463.7	6968.2	8618.3	417.7	621.4	525.3	9639.3	30426.7	31923.1	243791.521485	244343.982926	488135.504411	1498167.0	1644684.158322
sub-0023	3473.1	2887.5	7831.4	3150.2	819.2	6141.3	12102.7	8009.5	3858.5	9636.4	7793.7	5459.9	4783.3	5543.0	1361.7	5286.5	4016.0	901.4	3248.1	3195.4	8379.2	4730.4	13557.5	11569.9	2969.0	14170.8	19250.4	17087.5	7963.5	10117.4	316.9	604.7	773.1	10615.0	2368.3	3045.8	6667.3	3154.3	775.0	5796.4	10803.4	7304.9	3171.6	11478.0	7832.9	6984.1	4486.1	6736.9	1706.9	5303.9	3643.0	1463.5	3400.6	4528.6	8187.3	5066.2	12323.5	11176.1	2292.9	16262.4	18844.0	14300.7	7040.0	10794.2	372.8	567.2	489.9	10378.6	30869.9	29851.6	250030.089156	246887.92705	496918.016205	1587860.0	1804893.717628
sub-0024	3161.9	2953.7	5791.1	2526.3	758.7	5799.2	9185.6	5458.1	3877.9	10424.0	5767.9	4691.8	3948.5	4431.4	1246.5	3782.1	3499.4	762.9	2455.4	2687.1	7506.5	4607.1	12388.4	8125.8	2338.1	10448.2	16782.2	10602.0	6624.7	7617.4	278.9	626.8	649.6	8438.1	2593.9	2886.9	5554.2	2509.1	535.4	5456.1	8695.3	5018.7	3200.8	10913.9	6317.3	4802.2	3168.8	6070.3	1496.9	5428.8	3208.7	892.5	2957.2	2788.8	6655.0	3794.7	14458.6	8394.1	1798.4	10074.8	15678.1	11225.4	5749.9	8118.1	419.4	675.2	528.0	8446.1	19986.5	20859.4	197775.714653	198216.448054	395992.162707	1463171.0	1643269.313583
sub-0025	2250.7	2614.8	6215.4	2841.3	666.8	5134.7	8018.0	4472.9	3705.0	10376.9	6108.0	5777.6	3398.7	4682.3	1365.7	3656.8	3934.3	751.5	2489.3	3286.2	6266.8	4239.0	13697.1	8539.9	1913.7	11431.1	15413.6	12366.6	6551.1	6833.5	253.6	621.8	674.4	9486.5	2805.1	2567.6	7262.5	2833.4	685.7	6165.6	10563.6	5372.2	3390.4	8531.6	6614.6	6059.8	3614.8	5813.4	1311.9	4560.2	2855.7	1021.4	2635.6	3408.9	6770.1	3687.2	12995.6	8827.8	1599.9	11337.0	14929.3	12229.3	5525.5	7678.3	342.3	697.6	436.0	8196.9	23547.2	24409.4	201795.370207	205807.450967	407602.821173	1365993.0	1465085.356993
sub-0026	3107.0	3048.1	6234.2	2912.8	1137.0	6194.0	10419.4	6550.3	3456.2	9419.5	6323.3	5856.2	3393.2	5221.3	1494.3	3656.0	4018.4	944.4	3271.4	3410.5	7614.1	4210.0	11403.9	9472.7	3450.9	11563.3	16457.1	11916.6	7512.8	8618.4	288.0	587.9	576.8	10091.1	2731.3	2458.2	5737.6	2548.7	760.3	6103.8	11133.6	6261.4	3427.7	9505.5	7122.2	5988.6	3712.1	6422.0	1472.6	4964.5	3663.4	1173.9	3446.5	3705.6	6864.8	4175.0	11316.6	9529.7	2162.6	12826.4	15622.0	12278.2	6115.3	8159.9	330.1	666.4	595.3	8983.8	25257.8	26854.7	217208.713927	216222.155201	433430.869128	1399822.0	1532717.570346
sub-0027	3681.1	3534.3	6209.4	3454.6	1365.6	7976.6	12721.9	7743.1	5280.5	12332.1	6936.4	6231.7	5078.4	6831.6	1933.3	3523.5	4599.6	1226.0	3999.7	3722.2	9266.0	4564.3	14747.3	10101.5	3089.0	16444.8	18606.2	11144.4	11255.6	12745.1	330.4	830.0	1196.6	12952.9	2958.5	2986.4	6212.8	2528.8	1083.5	7641.4	17804.5	8339.0	4338.4	11938.1	7277.6	6113.9	4548.4	8419.4	1643.4	4892.8	4066.4	1530.7	3705.9	3187.0	9013.9	4739.4	15517.6	10491.6	2118.2	15213.5	19490.3	12308.2	7868.3	10137.0	503.5	723.9	634.8	12173.5	39429.8	40513.2	274444.720213	272257.507908	546702.228121	1689684.0	1813622.09153
sub-0028	3437.9	2569.0	7507.2	2839.0	1294.2	6300.6	10262.8	6708.6	3268.6	10900.2	6911.7	4983.8	3930.7	5131.4	1360.2	3737.1	3644.4	982.8	3208.7	3085.3	7508.3	4003.9	13997.8	11268.0	3110.0	10663.4	18957.5	11327.7	8386.6	9533.2	218.0	537.3	812.3	9442.0	2739.8	3009.9	6312.7	3293.9	985.2	5888.9	12270.0	6754.7	2896.8	12267.0	8383.2	5250.0	4751.2	5923.8	1283.5	4212.0	2984.0	1441.5	3561.5	2940.5	7550.2	3918.7	14369.3	11297.7	2033.1	12302.4	17777.7	12036.2	6242.6	8629.8	292.6	756.4	742.8	9495.1	24618.8	26126.6	224732.920878	227776.361894	452509.282772	1411590.0	1522160.282978
sub-0029	2796.2	2660.9	6705.7	2754.9	746.0	6425.7	9228.0	6215.2	3414.6	9607.6	6713.3	5970.0	4068.7	6458.5	1470.3	4397.0	3357.2	833.8	3029.5	3144.8	8414.5	4497.5	14799.9	9468.0	3337.3	12211.2	18305.5	12751.0	9975.7	10115.3	320.5	644.9	894.7	9700.6	3035.2	2637.8	5619.3	2846.7	698.7	6770.3	13347.3	6054.6	3641.6	10070.5	6932.2	6295.4	4130.5	6764.9	1673.8	5027.3	2969.7	1266.5	2961.9	3100.0	7609.8	4113.2	15587.5	10793.5	1909.4	12379.7	20348.9	12582.2	7101.6	8479.6	469.7	804.7	495.0	9812.0	28174.3	26342.3	231478.473466	231622.580008	463101.053473	1519861.0	1708574.067385
sub-0030	2804.4	2658.2	7513.8	3244.2	867.0	6635.9	11537.9	8220.6	3730.0	12564.4	7178.8	5099.0	4119.4	7077.7	1346.5	3912.6	3498.0	1330.5	3556.0	4291.5	7531.1	4203.5	13907.2	10541.2	2522.6	16066.0	20808.9	13485.7	8597.8	8845.1	369.2	581.3	824.4	10325.4	3396.3	2913.7	7054.6	3821.6	679.7	7221.2	11776.1	7247.6	3187.9	12847.3	7239.5	5391.5	4270.1	8150.1	1669.6	5227.1	4248.8	1401.0	3533.2	4339.8	8791.4	3906.8	14244.1	9879.9	1921.2	15984.8	20179.6	13524.6	6444.6	7416.9	367.3	712.5	582.6	10050.7	32564.4	32668.5	249742.715901	249081.959363	498824.675264	1630628.0	1811818.846742
sub-0031	2228.6	2529.0	6485.7	2885.8	1042.9	7267.3	9007.7	5541.1	3281.0	11560.1	7060.5	5278.8	3843.9	5738.7	1624.6	3719.9	4179.9	994.6	3535.3	3493.2	7945.0	4066.8	13158.9	8711.6	2376.0	12501.9	20481.2	11922.9	8984.9	10636.7	313.0	618.1	801.9	10831.1	2034.9	2835.1	5532.7	2904.9	888.5	6951.8	10586.0	6949.1	3197.3	11412.8	8297.4	5356.3	3819.5	5729.1	1462.8	4813.4	3541.8	1253.8	4229.3	3348.8	7259.0	3547.6	14582.8	9396.3	1997.9	12197.1	18739.4	12935.8	7639.5	9887.2	316.3	570.8	636.0	10316.1	26777.7	27613.0	230581.804943	230041.227214	460623.032158	1444635.0	1617388.007545
