Measure:mean	wm-lh-bankssts	wm-lh-caudalanteriorcingulate	wm-lh-caudalmiddlefrontal	wm-lh-cuneus	wm-lh-entorhinal	wm-lh-fusiform	wm-lh-inferiorparietal	wm-lh-inferiortemporal	wm-lh-isthmuscingulate	wm-lh-lateraloccipital	wm-lh-lateralorbitofrontal	wm-lh-lingual	wm-lh-medialorbitofrontal	wm-lh-middletemporal	wm-lh-parahippocampal	wm-lh-paracentral	wm-lh-parsopercularis	wm-lh-parsorbitalis	wm-lh-parstriangularis	wm-lh-pericalcarine	wm-lh-postcentral	wm-lh-posteriorcingulate	wm-lh-precentral	wm-lh-precuneus	wm-lh-rostralanteriorcingulate	wm-lh-rostralmiddlefrontal	wm-lh-superiorfrontal	wm-lh-superiorparietal	wm-lh-superiortemporal	wm-lh-supramarginal	wm-lh-frontalpole	wm-lh-temporalpole	wm-lh-transversetemporal	wm-lh-insula	wm-rh-bankssts	wm-rh-caudalanteriorcingulate	wm-rh-caudalmiddlefrontal	wm-rh-cuneus	wm-rh-entorhinal	wm-rh-fusiform	wm-rh-inferiorparietal	wm-rh-inferiortemporal	wm-rh-isthmuscingulate	wm-rh-lateraloccipital	wm-rh-lateralorbitofrontal	wm-rh-lingual	wm-rh-medialorbitofrontal	wm-rh-middletemporal	wm-rh-parahippocampal	wm-rh-paracentral	wm-rh-parsopercularis	wm-rh-parsorbitalis	wm-rh-parstriangularis	wm-rh-pericalcarine	wm-rh-postcentral	wm-rh-posteriorcingulate	wm-rh-precentral	wm-rh-precuneus	wm-rh-rostralanteriorcingulate	wm-rh-rostralmiddlefrontal	wm-rh-superiorfrontal	wm-rh-superiorparietal	wm-rh-superiortemporal	wm-rh-supramarginal	wm-rh-frontalpole	wm-rh-temporalpole	wm-rh-transversetemporal	wm-rh-insula	Left-UnsegmentedWhiteMatter	Right-UnsegmentedWhiteMatter
sub-0011	100.0605	98.1302	102.0485	94.9791	91.5512	96.5258	103.5086	101.0869	95.5515	102.0186	97.6335	90.8812	98.3628	102.6058	90.2764	99.4678	101.5406	105.679	103.8015	91.9655	103.8883	98.0404	102.3825	95.795	96.0982	103.2888	101.2237	100.7407	101.2592	103.2929	101.1627	96.5826	95.051	90.9673	98.9533	97.0038	101.1255	95.7256	91.8687	94.8136	99.7877	104.0368	96.7017	100.1208	98.1053	90.5705	95.579	105.1666	91.9847	98.4451	98.5105	104.6505	103.9474	93.1901	101.7639	98.4561	100.5623	94.9008	97.1454	101.2757	99.8725	99.1523	101.7312	102.7245	100.1678	94.9905	95.546	91.7796	95.1977	94.846
sub-0012	102.9983	98.8077	100.8252	95.8476	91.8294	97.0846	102.5351	102.6622	100.7623	102.6104	96.941	94.5115	97.1066	103.7763	93.0893	98.5846	98.8539	101.7536	102.4506	95.6313	100.3728	99.7957	99.7611	96.4271	97.7037	101.1466	100.395	98.6083	100.064	103.8078	100.3214	93.0969	96.2443	92.3242	97.1992	97.1799	99.5522	96.9786	90.424	94.1575	100.4148	96.7521	100.9077	101.1344	95.3153	94.9465	96.8213	99.7115	91.2864	99.1092	98.7213	101.8353	102.1355	95.6821	98.507	99.8223	98.64	96.9152	97.3105	100.4142	99.69	98.3708	97.8029	99.9807	97.661	90.6882	93.1929	91.4213	96.8006	96.1066
sub-0013	103.5151	100.4882	98.9821	97.678	87.7201	92.2791	101.9613	95.3001	100.2711	96.0365	96.6798	91.4341	98.1365	99.8518	91.1735	99.6029	101.3502	99.3686	100.312	92.4218	99.5214	100.4381	99.4763	99.976	98.2496	98.7925	98.9422	99.9076	99.7352	104.5248	102.5968	89.185	95.2317	94.2376	97.8221	99.8275	98.067	98.5613	86.3624	90.09	100.9719	91.8924	99.8814	94.2061	97.1075	91.0913	97.8366	95.3606	89.8203	99.0136	100.6291	99.9877	101.4675	91.4709	98.195	100.0665	98.8607	99.9173	99.5407	98.527	98.4498	99.8339	96.8896	101.4658	98.2701	89.6817	93.6942	93.9794	97.5113	96.4519
sub-0014	101.5216	97.6909	99.3798	96.0537	89.0089	93.4091	103.1316	96.9349	95.6948	96.8772	97.4211	87.9954	101.1682	100.6796	89.3034	97.9977	99.6488	101.3969	102.4042	92.0774	101.315	96.8716	100.3991	96.0262	97.7349	100.9964	98.8207	100.863	99.3374	103.9565	103.8123	89.3397	92.8685	92.0988	101.4363	96.5164	100.2133	97.1454	88.1664	90.5085	103.8953	95.1077	96.8705	96.9905	97.8554	88.9772	99.218	98.7729	88.6139	99.1675	101.4219	102.3051	104.9748	92.1078	102.151	96.7518	101.5189	97.1404	95.578	101.9264	98.9923	101.7475	99.2029	103.9419	102.1586	90.4583	94.759	93.1815	96.5434	96.7764
sub-0015	99.8717	100.6038	100.0136	94.1424	88.2331	91.5873	100.8553	97.1905	98.9252	99.0577	97.4574	90.146	99.9032	99.706	89.4411	99.6175	99.9826	102.1577	101.5323	91.9562	101.8135	100.5547	100.7545	97.1525	97.6183	99.9887	98.098	100.0231	97.8947	103.457	97.1281	92.3874	94.3696	92.6945	97.6186	99.159	98.3865	94.6292	87.0718	90.6867	100.5896	96.2	99.1175	96.6167	97.0159	91.0586	99.3404	98.1246	88.7386	100.0432	99.9167	104.1035	102.4717	92.5603	101.72	100.631	99.8654	97.4044	97.551	99.9954	98.5507	99.8257	97.5683	101.5537	99.6998	92.3155	93.5939	92.702	96.6477	96.9307
sub-0016	101.9633	98.0525	102.3143	94.7402	85.3514	92.8133	99.2649	97.1862	95.1558	100.0839	95.4271	88.8864	95.8981	100.4049	89.5358	97.7141	103.9435	102.8253	104.7843	92.5394	101.5773	96.6569	100.9204	95.1035	95.0537	103.2399	100.5661	99.3931	98.1749	101.8551	102.0851	92.7429	89.4917	89.8422	103.7122	98.3343	99.3042	96.0957	86.8138	94.8993	104.9046	101.6727	95.9264	103.5474	96.4845	91.1875	97.3615	104.5844	91.7608	97.1944	101.8945	105.7937	104.5882	92.5187	100.3773	97.911	99.2427	96.5612	97.7769	101.3602	100.4269	100.9597	101.3388	104.5397	99.6122	93.053	92.7578	89.9795	94.983	95.7563
sub-0017	101.7048	99.3685	100.008	98.2836	91.7103	95.7576	102.3152	96.9101	99.94	98.2522	96.9764	95.0779	97.0965	98.292	92.6792	99.9426	101.1848	99.2114	100.5381	94.7824	98.1938	101.5887	100.162	98.9991	97.0912	99.3354	100.1904	100.2305	98.5929	102.0674	98.5706	91.2425	97.3533	94.5118	98.032	99.1519	99.2351	99.7836	88.1677	93.8678	100.1608	94.9123	100.8627	97.4785	96.3571	94.6828	96.6263	97.2961	91.5286	99.9341	99.5483	98.2587	101.4165	95.2587	98.2368	101.5582	99.2769	99.0515	96.575	99.6649	99.3924	99.4299	96.9724	101.0227	95.8992	88.3798	92.5939	93.5223	98.9386	98.104
sub-0018	102.2602	94.8873	99.1924	94.3374	92.3685	94.287	103.7926	98.0459	93.773	98.5991	97.6153	86.4425	99.6813	101.0228	90.8372	95.8276	100.6022	104.3001	103.7556	92.3878	99.9733	95.2203	99.495	95.6156	94.4283	100.4284	96.629	100.0695	101.2724	103.4516	99.4324	93.5319	94.6166	92.4641	100.3042	92.4449	97.3685	95.5481	88.971	91.8243	103.1888	97.0417	93.7304	97.6417	96.8272	86.8068	96.6801	101.3444	88.9076	97.2772	101.0495	103.6723	103.2014	91.4617	100.0109	95.0175	99.2923	95.601	92.7465	100.7703	96.3305	100.3339	100.3333	101.7834	96.7238	91.1479	93.6046	92.0186	95.2745	94.8049
sub-0019	98.6227	99.6626	100.0493	99.6036	90.4312	92.9962	101.7618	96.3645	98.4098	98.033	97.5608	92.7113	99.3254	97.7834	89.2355	98.8098	100.6761	99.5869	100.8932	97.5695	99.6941	99.9286	99.9251	98.6976	99.0757	99.3576	99.1469	100.2928	98.484	102.027	99.9088	87.9695	95.2686	92.5695	99.0432	97.6979	98.8502	100.3919	92.0101	93.6201	99.3775	98.1035	100.3688	96.5134	97.3608	92.5163	97.9718	99.0673	92.1867	98.0577	100.5405	100.989	102.0949	96.0482	96.5221	98.9402	97.793	99.7227	96.1799	99.6612	97.5549	98.9783	98.6965	99.7128	98.77	93.1498	94.7968	93.9973	97.2111	97.415
sub-0020	99.1389	101.6831	100.0435	100.1684	91.9807	94.0047	100.4552	95.0269	100.8009	97.3742	98.7471	94.2651	100.141	96.6726	92.258	99.273	102.4256	97.4839	102.3754	97.1345	97.8036	100.1976	99.1974	98.5056	99.7566	100.1521	98.9535	99.8225	98.2706	100.8868	95.4534	88.1174	95.8664	96.6564	99.3656	99.3322	99.2274	100.3421	88.7114	93.3491	98.6483	95.4235	100.123	97.3203	97.2652	95.1603	98.0525	96.7732	91.8285	98.1835	101.6106	98.2179	101.131	97.1518	97.4295	99.7156	98.6102	99.0223	99.3881	99.4869	98.0255	98.6712	97.3384	100.924	92.5329	89.2541	94.2616	96.2994	99.5875	99.2209
sub-0021	101.9504	100.1921	98.3547	97.6716	90.2264	93.6512	100.6825	96.698	100.8642	97.6349	96.2628	91.6509	97.5645	99.3108	92.773	99.1332	102.4589	102.5942	102.4964	92.2901	98.4602	100.6619	98.4589	97.8853	97.5375	99.6613	98.2076	98.8925	99.6585	101.0992	98.0795	90.9974	94.3992	94.9118	99.1891	97.7505	99.321	96.9983	87.0066	90.0698	101.2762	92.0894	100.7694	94.5584	95.9938	90.8503	96.2425	94.973	89.8993	99.5205	101.6564	99.0484	102.587	91.9658	101.048	100.791	100.0859	98.0462	97.01	99.3464	97.4544	99.6952	96.7658	102.9826	96.7112	89.1553	95.5438	93.1376	97.7921	97.3115
sub-0022	99.1895	100.0948	100.0865	98.6545	88.7	92.2418	101.1497	94.111	98.9561	96.3382	97.1455	93.2316	98.3608	95.3363	90.4441	97.4019	100.2246	97.3456	99.841	96.1036	97.5933	99.3492	98.2458	98.2607	98.4912	98.8529	98.7159	99.3433	96.3532	101.1207	93.6724	87.4806	93.5918	93.9399	97.8633	98.2971	98.0692	98.7056	87.3527	92.7063	99.4272	93.7559	100.1022	96.0542	97.2011	94.0531	97.1768	96.0526	91.5649	97.6812	100.0389	98.5855	100.9705	95.8829	96.7878	99.259	96.9805	98.2067	97.5302	99.0395	97.6839	98.1729	96.0781	99.9595	95.8358	88.1653	92.9355	93.5607	98.6041	98.2046
sub-0023	100.591	98.2137	99.7969	95.0928	88.7976	93.2093	99.9213	97.652	95.5544	93.9409	96.959	89.1239	99.0904	99.9023	90.8546	99.4891	100.6625	97.0308	100.5457	90.6595	98.2815	99.4189	99.0093	96.9949	94.0866	99.5744	97.8317	99.9457	99.1861	102.0891	99.3488	89.7336	96.2857	93.6619	100.2929	97.8786	99.1333	95.7372	87.938	92.3628	102.7484	96.8765	96.3805	97.4564	97.8541	90.6733	98.7815	99.528	90.947	98.6519	101.1818	99.0648	101.468	92.7549	99.0668	99.5859	98.66	97.8859	98.0377	100.4635	98.0323	100.8031	98.0085	102.4176	95.7131	89.7772	95.1729	93.6339	97.0842	98.089
sub-0024	99.9113	95.5771	97.4233	94.5281	86.5744	94.2115	103.2909	101.0367	94.4486	98.9682	95.6252	88.2384	94.2525	104.7397	86.4653	98.9228	99.6056	105.1015	104.2948	91.1645	103.1305	96.0423	99.8365	96.5749	93.9049	99.8697	98.6415	100.6028	101.2651	102.253	102.225	95.4343	93.6018	90.0693	97.0756	94.3973	97.2528	93.2767	85.1057	90.5959	101.3186	96.8936	95.6972	95.5681	95.5441	87.7085	96.1576	100.7351	86.644	99.2295	101.6289	105.2632	107.644	89.246	102.2172	96.6607	100.104	96.3175	95.818	101.2105	98.5154	99.9072	99.5013	101.9869	102.7415	89.9115	94.0859	90.115	92.3016	92.7486
sub-0025	103.1226	101.1571	101.7075	99.5093	87.913	93.775	103.7232	96.4763	98.8156	97.6864	98.8989	92.8933	101.2891	100.2258	89.9894	103.1348	103.1104	100.0804	103.971	93.5984	102.2258	101.0577	102.9326	101.3592	98.5777	100.4984	101.1848	103.365	101.0339	105.2764	96.822	90.1137	100.7416	95.4029	96.8255	99.6991	101.4968	97.7041	84.6064	88.4263	99.2602	88.9484	98.6177	92.9105	96.0387	90.2731	96.7705	92.1987	85.8741	103.575	99.8799	96.9545	101.1711	91.0621	100.5505	101.5671	102.0762	100.4431	98.4008	99.4831	100.2546	102.2524	94.1296	101.7636	93.4937	85.891	95.2388	91.6425	99.4539	98.0882
sub-0026	99.3966	101.2205	99.6183	98.3579	90.8757	92.9948	99.6223	96.2262	98.7743	95.8956	97.7878	93.9617	101.0848	99.1013	91.1546	99.1341	101.5554	100.6968	101.2755	93.3945	99.9874	101.5444	100.5073	99.4456	98.0799	99.3198	98.2962	99.6869	98.2514	101.685	97.0532	90.7143	95.7325	93.6288	97.8364	99.9251	97.3045	98.3233	89.166	92.5925	98.2795	95.1907	99.8975	94.8723	97.4986	93.5695	101.0303	98.0321	91.9729	99.6392	100.8329	97.804	100.1467	92.8777	97.4922	101.9724	98.1857	99.7592	97.3332	97.3871	98.3415	98.4193	98.0576	99.831	97.5417	93.4288	96.6757	94.741	97.7582	97.5458
sub-0027	101.5275	99.885	100.5556	96.4436	85.3293	92.5008	100.1545	95.2993	99.4458	95.5648	95.9872	90.6928	95.0172	97.826	90.7099	98.884	99.8121	98.1605	100.8771	91.0104	99.4911	101.9118	99.4442	98.669	96.6489	98.3987	99.0222	99.4395	98.3019	102.0573	96.2671	88.3501	94.6618	93.8643	96.9531	98.391	99.9024	95.4609	86.0609	90.5263	99.7832	93.0118	99.6642	96.1224	96.5192	91.4079	96.6136	95.4613	89.754	98.7564	99.3359	98.4149	101.469	92.5474	97.7448	101.7087	98.3973	98.0271	97.1802	98.4299	98.1221	99.1835	94.9291	100.2504	96.9312	87.9599	91.3	92.6789	98.2956	98.3773
sub-0028	99.545	99.371	98.7944	95.1868	89.613	91.8764	99.8733	95.8449	98.0301	96.3217	97.2816	89.4728	96.5064	98.0224	89.043	96.3716	99.6602	100.9102	100.796	91.7202	98.4986	100.179	98.6152	97.6975	96.6505	98.9669	97.3706	99.0586	98.3365	101.2151	95.2524	88.7739	95.1877	93.7603	99.8292	96.9885	99.9213	96.7386	88.7284	91.096	100.7813	95.0368	98.9933	97.0712	95.972	90.4569	97.9008	97.6029	90.699	98.6401	99.7737	97.5237	99.5873	92.6591	100.1881	100.0949	99.9523	98.1144	96.8455	97.645	97.3455	99.8068	98.7902	103.0926	95.3177	89.9405	96.6545	95.2935	98.1915	99.1036
sub-0029	102.5601	95.3531	100.5012	95.3686	92.0	94.9161	102.8381	96.9168	94.5722	99.231	96.5129	91.1823	96.3371	99.7126	88.947	98.1351	101.2255	102.4721	103.8189	92.0999	101.0149	95.7637	100.0904	95.5605	94.7808	100.5762	98.4012	100.0119	100.1068	102.7754	100.4299	92.8143	94.8143	93.6665	101.7873	93.8988	99.0981	95.506	88.4622	95.7751	104.0925	98.1267	94.6031	99.8086	96.8211	92.3684	97.2476	100.8074	89.5439	98.7354	101.8658	104.0923	105.9378	92.609	101.038	95.2127	100.5136	96.1334	93.1706	100.8306	97.9666	101.8301	101.1854	103.5021	100.2523	92.3953	96.1324	93.8008	95.4692	94.8015
sub-0030	103.2756	97.8197	99.3901	96.2114	91.5192	95.3526	103.1329	98.5406	98.7442	99.8803	98.5299	91.2402	100.6226	102.5007	89.8406	97.2635	101.9488	106.7737	106.3258	93.209	101.3481	98.03	100.438	97.5938	99.2104	102.0488	100.626	100.0462	100.5659	103.6124	107.5824	93.0771	95.7157	91.6149	96.9643	97.0811	97.8586	94.7949	90.5316	91.7263	101.3578	97.3654	99.0659	95.3717	98.2117	88.3756	98.7336	99.8166	89.1694	98.5007	99.4351	106.7469	105.1523	91.1221	101.1716	98.5516	99.6486	97.0432	97.2986	101.0076	98.7471	99.5131	98.5781	102.0329	100.3903	93.9379	94.7824	90.2833	95.9745	95.2998
sub-0031	102.6609	99.575	100.4731	98.8763	90.4537	93.552	100.8921	95.8581	100.4901	94.8353	98.537	91.8848	99.7513	98.4988	91.0893	97.702	102.527	99.8236	102.3891	93.4085	99.9275	100.2913	99.6068	100.2415	97.9626	99.3435	98.6721	99.4926	100.3601	102.9933	99.7789	89.5867	98.4733	96.0944	100.0516	98.0738	99.2014	98.2819	88.3206	92.8321	100.5499	95.6491	101.7635	95.662	96.5646	92.6387	98.9147	97.2207	91.1188	98.3099	101.0435	98.5067	101.213	92.1139	98.3961	99.8306	99.116	100.2795	97.9087	98.7274	97.5624	98.913	98.5461	101.9871	94.6032	87.5383	97.3959	95.89	99.2943	99.1905
sub-0032	100.8326	99.7434	99.5963	98.4902	90.1634	93.3281	101.2826	93.5232	100.1771	97.0115	98.8375	94.0056	97.4777	96.3324	90.9677	99.0474	100.5178	100.2207	100.7898	95.3527	98.0995	102.0067	99.0322	99.619	98.926	99.6958	98.3942	99.9113	98.3939	102.2389	98.6633	87.6867	96.0227	94.5928	98.4606	98.7135	98.6915	97.2022	84.2428	92.4851	100.2799	90.9134	101.1288	95.7517	96.67	93.7467	99.0853	94.6488	91.242	98.5821	98.852	99.245	100.5122	93.4791	96.2112	101.3933	97.8379	99.5124	98.9347	99.0611	97.6966	99.322	95.623	100.6002	96.8524	85.4979	95.3029	93.7582	99.4466	99.2625
sub-0033	102.1685	93.548	100.1732	98.8277	90.4978	95.5789	101.9967	97.656	93.1507	101.9818	96.3304	90.7671	95.1781	100.1177	89.3945	97.2164	100.8327	101.1454	100.7255	95.6424	100.0464	94.1754	99.609	94.8959	94.5641	99.3472	98.6685	99.3162	99.3338	102.1608	95.7269	93.0883	93.2662	91.4298	98.9694	92.9323	100.1744	99.0648	90.0832	93.7871	101.7045	96.2017	94.2439	103.4685	95.26	92.8411	95.1909	99.0155	88.8472	97.3375	99.6868	101.9313	102.1362	96.4192	99.3925	94.4893	98.8571	95.9288	95.3534	100.2458	98.288	99.6419	97.6476	100.5492	96.2077	90.8456	90.6327	90.5076	94.1396	94.2431
sub-0034	102.0181	97.0134	99.4677	95.3209	88.5123	92.6072	101.449	95.9345	95.5318	98.6295	97.174	89.0878	97.6591	98.6492	88.8401	98.277	101.4677	103.5332	102.8663	92.3582	101.3609	97.715	100.564	96.0643	94.1783	100.2323	98.5138	99.6399	99.8771	103.0682	93.9492	90.0695	95.5925	92.2185	98.6094	94.2587	98.2441	97.0907	85.4478	91.6482	101.0029	94.9445	97.7467	98.0811	98.0527	90.9918	96.707	99.3065	89.6584	97.536	100.0262	103.6597	103.7662	92.8983	100.6275	97.6603	99.2835	97.7149	95.1256	99.6611	97.3793	100.5864	98.6364	102.2	92.8146	89.6924	95.8406	91.3235	96.0524	96.1066
