Measure:volume	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus-Proper	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus-Proper	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	5th-Ventricle	WM-hypointensities	Left-WM-hypointensities	Right-WM-hypointensities	non-WM-hypointensities	Left-non-WM-hypointensities	Right-non-WM-hypointensities	Optic-Chiasm	CC_Posterior	CC_Mid_Posterior	CC_Central	CC_Mid_Anterior	CC_Anterior	BrainSegVol	BrainSegVolNotVent	BrainSegVolNotVentSurf	lhCortexVol	rhCortexVol	CortexVol	lhCerebralWhiteMatterVol	rhCerebralWhiteMatterVol	CerebralWhiteMatterVol	SubCortGrayVol	TotalGrayVol	SupraTentorialVol	SupraTentorialVolNotVent	SupraTentorialVolNotVentVox	MaskVol	BrainSegVol-to-eTIV	MaskVol-to-eTIV	lhSurfaceHoles	rhSurfaceHoles	SurfaceHoles	EstimatedTotalIntraCranialVol
sub-0011	5905.6	224.8	21938.9	66275.7	8159.1	3712.8	5677.0	2251.3	1040.9	2905.3	20560.0	4102.8	1753.9	892.3	459.5	4370.7	0.0	497.0	5200.6	250.8	19495.3	69466.9	7567.4	3531.0	5534.8	2006.1	4069.1	1767.9	444.0	4381.3	11.3	370.5	0.0	1341.6	0.0	0.0	0.0	0.0	0.0	44.1	828.2	570.0	543.9	466.6	790.7	1211147.0	1194611.0	1193466.639976	259452.677217	260932.507644	520385.184861	216222.818549	218007.636566	434230.455115	61484.0	717830.184861	1030710.639976	1018831.639976	1017194.0	1543892.0	0.709407	0.904306	28.0	26.0	54.0	1707267.820145
sub-0012	3294.8	305.3	28643.6	52967.7	8544.0	3550.4	5375.0	2344.2	840.8	2021.3	21847.7	4304.1	1581.1	1005.1	380.9	4567.5	22.2	197.4	4156.0	520.7	21204.1	59001.0	7603.9	3802.7	5566.7	2245.4	4577.3	2090.0	553.9	4343.0	19.5	309.4	0.0	492.3	0.0	0.0	0.0	0.0	0.0	83.1	946.5	464.4	704.3	492.2	916.1	1251698.0	1239983.0	1239323.420274	275249.536998	272442.516112	547692.053111	234555.703733	231611.663431	466167.367164	62677.0	723352.053111	1088111.420274	1080022.420274	1077173.0	1565381.0	0.71765	0.897497	27.0	33.0	60.0	1744162.518335
sub-0013	9989.7	139.2	16152.4	56278.0	7922.1	3978.2	5253.4	2175.2	1060.8	1878.2	21155.9	4299.1	1618.2	1097.5	357.5	4164.3	7.1	561.8	9644.7	354.0	15003.1	56785.9	7259.4	4159.6	5492.0	2293.9	4599.0	1953.1	556.4	4254.9	0.0	675.7	0.0	1822.9	0.0	0.0	0.0	0.0	0.0	125.0	1111.5	654.7	569.3	577.7	1373.3	1219702.0	1195138.0	1193603.915867	267325.813303	269228.472851	536554.286154	226052.926154	224320.703559	450373.629713	61999.0	712869.286154	1074165.915867	1053450.915867	1050384.0	1536467.0	0.729938	0.919508	47.0	48.0	95.0	1670965.707713
sub-0014	4176.2	159.5	16537.8	64654.8	8892.3	3901.4	4179.8	2449.7	789.6	2002.3	21510.6	4896.8	2078.3	1133.0	348.5	4726.4	0.0	323.6	6041.6	424.9	15098.7	63346.9	8138.0	4034.9	4765.8	2235.6	5166.4	2086.5	495.2	4600.5	0.0	471.7	0.0	553.6	0.0	0.0	0.0	0.0	0.0	81.4	1124.2	710.0	824.5	782.2	1138.9	1345682.0	1330912.0	1330520.555309	286624.033227	283870.846562	570494.879789	268544.88564	266379.789881	534924.67552	64508.0	764822.879789	1184825.555309	1173877.555309	1170252.0	1673627.0	0.699872	0.870431	50.0	27.0	77.0	1922755.793476
sub-0015	8019.4	279.8	20201.5	64840.0	9252.2	3553.2	4792.2	2078.6	1081.0	2437.9	23555.4	4483.2	1499.3	1138.8	340.2	4662.3	11.7	646.4	8288.2	290.9	17404.7	67153.8	7930.9	3695.8	4975.6	2223.6	4480.9	1867.3	471.5	4572.5	22.9	643.2	0.0	874.4	0.0	0.0	0.0	0.0	0.0	66.5	1002.9	632.3	721.4	627.0	1282.4	1298700.0	1276578.0	1275953.62258	272377.978369	275602.985996	547980.964365	246537.388838	248816.269378	495353.658215	62133.0	744210.964365	1127483.62258	1109873.62258	1106039.0	1621750.0	0.748218	0.934336	28.0	30.0	58.0	1735724.798317
sub-0016	6669.8	201.5	17199.2	60911.2	9353.8	3923.8	5765.9	2385.9	728.0	1945.2	23617.0	4809.7	1877.7	795.2	392.0	4875.1	0.0	386.3	4958.7	331.2	18026.3	63437.4	8549.1	4333.7	5922.1	2280.3	4686.2	1957.0	527.6	4731.0	2.9	345.9	0.0	1224.4	0.0	0.0	0.0	0.0	0.0	83.4	818.8	683.5	859.9	662.7	968.0	1258129.0	1242580.0	1241706.554759	269401.204277	272294.763009	541695.967287	236857.761861	235066.825611	471924.587472	67828.0	734366.967287	1097989.554759	1085713.554759	1082249.0	1505571.0	0.783142	0.937167	49.0	40.0	89.0	1606513.8614
sub-0017	6390.9	265.3	23038.4	72796.5	9705.0	4606.4	6204.2	2644.9	958.3	1666.8	29063.2	4677.0	1657.0	1250.5	624.1	5740.0	27.3	415.8	6248.2	130.0	21368.1	73122.0	8785.9	4391.5	6268.4	2513.8	4599.8	2006.0	715.0	5568.4	31.2	334.7	0.0	780.5	0.0	0.0	0.0	0.0	0.0	63.3	1018.0	661.0	1045.2	901.5	1246.2	1454128.0	1437465.0	1436991.061375	283735.968403	285886.771689	569622.740092	301978.516847	302852.804436	604831.321283	72209.0	788660.740092	1262464.061375	1249436.061375	1247115.0	1803017.0	0.719247	0.891816	25.0	18.0	43.0	2021737.160453
sub-0018	7673.7	226.8	17359.6	63506.7	9304.2	4462.3	5058.2	2372.9	750.5	2411.2	24180.3	4819.7	1616.5	1223.2	480.7	4994.9	16.1	378.4	8661.4	316.6	15948.3	64072.6	8424.5	3866.3	5090.0	2413.2	4591.7	1874.1	536.5	4735.0	13.7	547.3	0.0	1320.8	0.0	0.0	0.0	0.0	0.0	92.5	1162.7	831.0	888.2	850.7	1217.6	1387643.0	1366174.0	1365280.303732	300490.766585	295507.483691	595998.250276	271935.919272	269469.134184	541405.053456	66549.0	791556.250276	1224876.303732	1207570.303732	1204780.0	1728277.0	0.7631	0.950424	29.0	23.0	52.0	1818427.767445
sub-0019	4112.2	85.8	15746.2	55292.2	7563.9	3451.8	4727.6	2103.3	716.2	1389.4	20213.4	4051.7	1287.3	836.6	513.1	4115.7	13.6	410.0	4176.6	525.4	15710.1	55875.6	6744.0	3762.6	4835.4	2115.6	3820.7	1478.4	460.6	3915.7	13.2	378.6	4.4	983.3	0.0	0.0	0.0	0.0	0.0	76.3	987.4	544.8	714.4	879.2	912.5	1040614.0	1028699.0	1028213.458584	206713.646996	209570.966568	416284.613564	206230.840936	207400.004084	413630.84502	55949.0	584469.613564	897365.458584	888276.458584	886315.0	1290524.0	0.732603	0.908542	18.0	17.0	35.0	1420433.913594
sub-0020	5208.0	68.8	14704.4	51196.7	7168.0	3381.6	4915.7	2035.4	574.3	1519.1	18949.0	3852.6	1622.7	827.9	372.1	3810.5	30.4	367.0	5425.5	147.5	13679.8	52849.1	6670.8	3142.0	4828.3	2063.4	4080.4	1509.1	495.4	3589.7	50.4	251.2	0.0	511.4	0.0	0.0	0.0	0.0	0.0	29.5	1284.5	890.4	1064.0	1038.5	1167.7	1111425.0	1097813.0	1097138.653548	227140.577814	226824.859499	453965.437313	228625.033777	227999.182458	456624.216235	54672.0	613306.437313	978599.653548	967699.653548	965950.0	1363324.0	0.995556	1.221193	22.0	24.0	46.0	1116386.637573
sub-0021	9653.7	350.0	18694.7	68572.2	8681.3	4553.0	6011.6	2397.2	1133.1	2091.0	22560.6	4756.6	1711.8	1126.8	433.6	4580.0	28.8	457.0	9605.4	404.6	18232.1	70818.9	8162.5	4694.6	6062.0	2315.6	4603.4	2256.7	575.8	4506.4	23.5	434.4	0.0	1216.9	0.0	0.0	0.0	0.0	0.0	86.7	1257.6	755.2	751.3	884.2	1037.5	1331581.0	1307087.0	1305794.785432	265981.027094	266341.884049	532322.911143	266361.36803	262496.506259	528857.874289	67897.0	740784.911143	1153204.785432	1132874.785432	1130318.0	1667980.0	0.70499	0.883093	37.0	31.0	68.0	1888793.448063
sub-0022	8633.7	84.3	16800.8	55849.5	7833.4	3356.4	4138.3	1926.4	840.2	2429.7	19975.6	4210.0	1377.8	1058.4	393.4	4204.1	16.3	486.5	10676.2	49.5	15814.2	56103.3	6645.2	3334.3	4301.0	1904.6	3985.4	1728.0	452.3	4169.3	9.2	506.4	0.0	1033.8	0.0	0.0	0.0	0.0	0.0	76.0	1153.6	609.4	572.3	602.6	1023.1	1187895.0	1163759.0	1163185.424734	237729.82422	237678.096102	475407.920323	243791.521485	244343.982926	488135.504411	55161.0	644014.920323	1041743.424734	1021735.424734	1019235.0	1498167.0	0.722263	0.910915	33.0	16.0	49.0	1644684.158322
sub-0023	15996.6	107.0	16527.6	59677.4	8207.1	4117.1	5053.8	1988.9	802.3	1740.0	21101.2	4535.4	1646.2	1248.7	345.4	4279.9	5.6	543.2	8206.3	147.5	15610.1	62279.5	7432.1	4225.5	5251.1	1973.4	4442.7	1848.2	633.2	4093.8	23.6	367.4	0.0	646.9	0.0	0.0	0.0	0.0	0.0	97.4	833.3	383.9	456.6	408.3	913.6	1290082.0	1261876.0	1261733.445355	273454.869784	275045.559366	548500.42915	250030.089156	246887.92705	496918.016205	61493.0	733767.42915	1135189.445355	1110576.445355	1106985.0	1587860.0	0.714769	0.879753	30.0	25.0	55.0	1804893.717628
sub-0024	8681.8	255.7	13955.3	60076.0	8992.0	4841.5	6052.6	2288.4	750.0	2210.5	19959.8	4140.1	1670.1	913.8	410.3	4098.7	45.8	624.3	9661.3	207.6	12109.5	58435.4	7997.4	5169.1	5942.9	2377.6	4253.2	2153.3	542.2	4108.1	22.1	573.8	8.4	765.9	0.0	0.0	0.0	0.0	0.0	104.4	1073.6	529.2	435.6	518.3	896.0	1142473.0	1118986.0	1117978.06393	255849.436788	255119.464435	510968.901223	197775.714653	198216.448054	395992.162707	66270.0	696422.901223	995886.06393	976215.06393	974197.0	1463171.0	0.695244	0.890402	52.0	60.0	112.0	1643269.313583
sub-0025	4697.0	145.4	14599.0	53919.0	8886.6	3779.2	5009.4	1953.4	882.2	2750.2	20427.2	4114.8	1638.5	1000.7	453.8	4173.5	32.4	404.6	6836.8	329.1	20261.0	50691.6	8109.8	4204.1	5625.6	2086.8	4738.5	1949.1	651.2	4291.1	0.0	495.3	0.0	915.1	0.0	0.0	0.0	0.0	0.0	66.9	862.6	458.3	695.9	492.6	896.5	1085410.0	1068488.0	1067757.741343	226711.675623	230139.244547	456850.92017	201795.370207	205807.450967	407602.821173	63372.0	626053.92017	943987.741343	931582.741343	928512.0	1365993.0	0.740851	0.932364	35.0	15.0	50.0	1465085.356993
sub-0026	7262.1	155.9	13486.1	50661.9	8426.6	3191.6	4816.7	1807.5	891.1	1703.3	18401.8	4311.7	1501.3	1186.9	318.0	3666.4	0.0	496.4	6108.2	305.2	12436.5	51189.9	7366.9	3308.0	5096.5	1820.2	4054.9	1558.9	554.2	3441.4	0.0	560.6	0.0	613.3	0.0	0.0	0.0	0.0	0.0	73.0	869.1	486.0	569.9	552.6	791.8	1106464.0	1088793.0	1088413.227451	234806.550929	235733.807394	470540.358323	217208.713927	216222.155201	433430.869128	56652.0	630531.358323	976813.227451	962736.227451	960940.0	1399822.0	0.721897	0.913294	48.0	31.0	79.0	1532717.570346
sub-0027	8487.0	241.3	18173.1	66195.9	9652.8	3826.9	5885.2	2706.1	1016.3	1653.1	24119.1	4780.3	1849.1	1239.8	520.8	4926.0	31.4	490.0	7917.3	157.3	19443.4	67510.8	8535.1	4116.3	5991.8	2568.7	4589.5	2222.8	730.2	4747.5	31.1	494.3	0.0	482.4	0.0	0.0	0.0	0.0	0.0	35.0	1227.6	808.1	877.3	1094.1	1146.6	1366081.0	1345361.0	1344912.788745	278817.977764	278515.58286	557333.560624	274444.720213	272257.507908	546702.228121	69030.0	761478.560624	1193475.788745	1176482.788745	1173514.0	1689684.0	0.753234	0.931663	34.0	37.0	71.0	1813622.09153
sub-0028	6195.5	216.8	15184.2	52908.6	7510.2	2736.8	3595.5	1635.3	844.5	1507.0	18286.1	4148.9	1371.1	889.2	355.5	4238.7	6.5	448.6	6484.3	344.0	13572.3	53526.6	6743.9	2958.6	4063.9	1727.2	4134.5	1632.6	476.1	3902.5	9.0	450.4	0.0	459.8	0.0	0.0	0.0	0.0	0.0	64.3	802.6	515.9	674.9	520.4	693.3	1119503.0	1102873.0	1102639.347293	229664.308867	232561.755654	462226.064521	224732.920878	227776.361894	452509.282772	52609.0	622851.064521	983436.347293	969939.347293	967523.0	1411590.0	0.73547	0.92736	22.0	16.0	38.0	1522160.282978
sub-0029	10924.4	368.2	18972.2	58912.2	7935.5	3959.0	5584.9	2516.8	977.8	1517.5	21794.2	3904.5	1561.0	1190.3	476.0	4316.9	9.4	984.4	11574.5	171.5	17527.4	67283.7	7919.8	4086.5	5800.2	2174.1	3936.2	1725.8	552.1	4402.9	11.4	769.2	0.0	737.0	0.0	0.0	0.0	0.0	0.0	150.8	1214.8	640.8	666.2	585.3	1002.0	1220026.0	1192209.0	1191528.349793	250484.885047	252880.411272	503365.296319	231478.473466	231622.580008	463101.053473	62476.0	692060.296319	1056013.349793	1031667.349793	1029525.0	1519861.0	0.714061	0.889549	13.0	24.0	37.0	1708574.067385
sub-0030	7579.8	192.4	17450.3	64583.0	8968.5	4821.6	5076.5	2419.6	1193.5	2108.3	21885.8	4350.4	1720.3	1310.8	379.3	4552.3	41.4	390.9	7003.8	251.3	16302.6	66640.7	7321.9	4758.3	5495.1	2315.5	4571.9	2013.4	527.1	4543.7	22.2	409.9	0.0	835.9	0.0	0.0	0.0	0.0	0.0	126.8	994.8	580.1	674.7	528.3	1008.9	1286529.0	1267112.0	1266276.589027	269508.332205	267155.581559	536663.913764	249742.715901	249081.959363	498824.675264	64874.0	735058.913764	1119202.589027	1104247.589027	1101117.0	1630628.0	0.710076	0.899995	28.0	25.0	53.0	1811818.846742
sub-0031	3936.3	210.4	17601.8	53891.4	8568.5	3453.9	4660.5	2013.6	676.6	2043.8	20287.2	4001.1	1505.3	908.3	379.6	4333.7	7.5	125.3	3635.0	114.4	15361.7	57276.6	7645.7	3593.0	4621.0	2006.5	3963.9	1606.4	583.9	4083.0	9.1	160.2	0.0	895.8	0.0	0.0	0.0	0.0	0.0	63.4	957.5	619.7	856.0	561.9	763.9	1166052.0	1155135.0	1154595.619737	244568.089876	246935.497704	491503.58758	230581.804943	230041.227214	460623.032158	58013.0	662326.58758	1020663.619737	1013134.619737	1010630.0	1444635.0	0.720948	0.89319	21.0	17.0	38.0	1617388.007545
sub-0032	7417.7	189.9	18734.0	54140.6	9083.9	4122.6	5113.4	2067.2	1099.3	1759.0	21417.8	4781.7	1786.5	1113.6	557.6	4692.6	17.7	631.6	6078.0	435.5	17306.4	55627.8	8110.6	4167.3	5118.2	2143.0	4819.8	2026.0	615.2	4592.5	15.7	513.1	0.0	453.5	0.0	0.0	0.0	0.0	0.0	70.2	1047.5	670.0	762.9	775.4	1031.9	1314320.0	1295955.0	1294906.914019	263277.229057	265975.990691	529253.219748	278012.500864	276562.193407	554574.694271	65222.0	705568.219748	1166410.914019	1151856.914019	1150049.0	1615936.0	0.741328	0.911451	17.0	21.0	38.0	1772926.966109
sub-0033	8951.0	74.5	16760.9	55539.6	7811.8	3610.3	4637.7	1896.2	806.2	1294.4	19362.9	3918.1	1330.8	1233.3	381.7	3781.1	40.7	621.8	6617.8	49.2	15438.4	59152.7	7547.9	3778.3	4615.2	2025.9	4095.6	1557.8	558.9	3784.2	28.5	425.5	0.0	455.4	0.0	0.0	0.0	0.0	0.0	51.3	1145.6	686.2	893.3	883.8	906.0	1139832.0	1120140.0	1119881.000063	238456.359402	241108.217155	479564.576557	218848.677944	217921.745562	436770.423506	57107.0	651141.576557	991647.000063	975185.000063	973698.0	1423808.0	0.716511	0.895022	18.0	24.0	42.0	1590808.412243
sub-0034	7010.8	140.5	15306.8	65624.1	7548.9	3258.7	5227.9	1969.7	1018.3	1943.4	21994.0	4235.2	1585.9	1045.8	405.0	4387.9	4.7	439.6	8778.1	191.2	13694.0	65278.0	7092.9	3288.0	5176.9	1739.0	4106.3	1650.2	518.5	4383.9	7.0	369.7	1.0	318.0	0.0	0.0	0.0	0.0	0.0	53.8	809.7	560.0	438.2	414.0	966.3	1178727.0	1158355.0	1158130.501064	239032.214733	239204.493732	478236.708466	230955.332683	231083.459916	462038.792599	57950.0	668112.708466	1016595.501064	1000064.501064	998407.0	1508128.0	0.684339	0.875581	18.0	11.0	29.0	1722431.472151
sub-0035	4886.1	222.4	14446.1	55928.8	8869.2	4889.5	5914.1	2319.2	932.3	1810.1	21483.4	4816.4	1674.4	1180.5	491.2	4882.1	50.1	309.9	8280.0	269.4	14351.3	55584.8	8251.5	5006.7	5926.9	2430.2	4291.1	1819.7	616.3	4588.0	21.6	463.9	0.0	679.7	0.0	0.0	0.0	0.0	0.0	91.2	1054.6	627.4	669.6	537.6	1008.8	1283845.0	1266172.0	1266047.600635	261743.530074	263831.673116	525575.20319	266841.272467	265775.124977	532616.397445	68054.0	705873.20319	1142446.600635	1128559.600635	1126330.0	1602147.0	0.985193	1.229451	23.0	25.0	48.0	1303140.161366
sub-0036	5845.0	135.6	17757.3	54848.2	8215.8	3600.6	5028.5	2036.1	643.0	1196.0	19908.8	4539.0	1543.4	725.0	427.7	4306.3	22.1	242.3	6202.3	147.4	16003.2	57382.7	7138.5	3692.5	5219.7	2095.6	4276.8	1843.6	561.0	4160.8	3.9	243.1	0.0	661.3	0.0	0.0	0.0	0.0	0.0	85.7	1029.7	665.8	589.1	533.0	1182.6	1199660.0	1185176.0	1184743.46745	255385.427507	251650.137481	507035.564988	238093.01242	233424.890042	471517.902462	59950.0	680562.564988	1053943.46745	1041809.46745	1038858.0	1493293.0	0.709636	0.883329	28.0	30.0	58.0	1690529.353187
sub-0037	8860.0	84.4	19700.9	65671.3	8395.7	3428.1	5688.3	2155.3	958.5	2961.9	23424.6	5030.9	1766.9	626.7	449.3	4682.0	25.3	459.0	10055.0	171.2	19241.3	65978.0	7375.5	3375.4	5873.9	2258.9	4642.7	1971.8	583.7	4783.2	13.6	455.0	0.0	749.9	0.0	0.0	0.0	0.0	0.0	57.8	927.0	735.2	568.4	533.1	1090.9	1284260.0	1260345.0	1259714.108373	252106.970874	251390.122629	503497.093503	262055.506881	259898.50799	521954.01487	63714.0	700202.093503	1111594.108373	1092034.108373	1089767.0	1567876.0	0.728649	0.889564	26.0	23.0	49.0	1762522.169334
