rh.aparc.area	rh_bankssts_area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_frontalpole_area	rh_temporalpole_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-0011	964.0	543.0	1559.0	1387.0	426.0	3162.0	6010.0	3302.0	857.0	4641.0	2457.0	2655.0	2117.0	3553.0	656.0	1553.0	967.0	901.0	1391.0	1470.0	3872.0	1079.0	4695.0	4057.0	503.0	5890.0	7098.0	5526.0	3469.0	3575.0	300.0	492.0	271.0	2199.0	83585.6	1194611.0	1707267.820145
sub-0012	813.0	979.0	2693.0	1413.0	469.0	2849.0	5701.0	3360.0	785.0	5214.0	2584.0	2681.0	2061.0	3399.0	585.0	1692.0	1422.0	837.0	1610.0	1218.0	4107.0	1446.0	5007.0	3941.0	629.0	6357.0	7948.0	5431.0	3794.0	3672.0	313.0	503.0	286.0	2217.0	88013.5	1239983.0	1744162.518335
sub-0013	1005.0	760.0	2215.0	1777.0	437.0	2905.0	5918.0	3458.0	898.0	5622.0	2610.0	3686.0	2188.0	3992.0	664.0	1465.0	1568.0	938.0	1537.0	1607.0	3821.0	1221.0	4865.0	3923.0	558.0	6378.0	7014.0	5740.0	3901.0	4093.0	349.0	453.0	342.0	2547.0	90446.1	1195138.0	1670965.707713
sub-0014	1038.0	846.0	1933.0	2330.0	421.0	3541.0	6218.0	3241.0	1058.0	6667.0	3051.0	3749.0	2275.0	3841.0	626.0	1352.0	1952.0	1139.0	1822.0	1924.0	4363.0	1228.0	5659.0	4827.0	649.0	6548.0	7727.0	5972.0	4022.0	4260.0	366.0	474.0	356.0	2828.0	98295.4	1330912.0	1922755.793476
sub-0015	1024.0	936.0	2032.0	1659.0	394.0	3185.0	6279.0	3103.0	737.0	5281.0	2994.0	3271.0	2171.0	3783.0	673.0	1540.0	1919.0	963.0	2058.0	1437.0	4126.0	1398.0	4847.0	4234.0	791.0	6170.0	7202.0	6021.0	4076.0	4672.0	355.0	404.0	311.0	2323.0	92369.4	1276578.0	1735724.798317
sub-0016	874.0	534.0	1967.0	1515.0	295.0	2942.0	5591.0	3454.0	746.0	5020.0	2528.0	3168.0	1918.0	3687.0	681.0	1251.0	1335.0	804.0	1693.0	1589.0	3889.0	1014.0	4951.0	3684.0	481.0	6140.0	6195.0	5726.0	3772.0	3711.0	339.0	420.0	401.0	2437.0	84751.2	1242580.0	1606513.8614
sub-0017	1061.0	830.0	2422.0	1456.0	322.0	3516.0	5766.0	3950.0	930.0	5392.0	3291.0	2893.0	2408.0	3667.0	622.0	1790.0	2227.0	900.0	1798.0	1429.0	4553.0	1430.0	5371.0	3981.0	781.0	6444.0	8876.0	6124.0	4493.0	4591.0	370.0	589.0	386.0	2903.0	97560.5	1437465.0	2021737.160453
sub-0018	1297.0	1024.0	2595.0	2132.0	546.0	2736.0	6357.0	3751.0	1252.0	5700.0	3429.0	3659.0	2243.0	4086.0	649.0	1824.0	1670.0	1174.0	1987.0	2063.0	4304.0	1656.0	5487.0	4980.0	731.0	6971.0	7945.0	5493.0	4091.0	4686.0	315.0	553.0	409.0	2891.0	100682.0	1366174.0	1818427.767445
sub-0019	796.0	563.0	1840.0	1445.0	399.0	2861.0	4574.0	3043.0	718.0	4387.0	2318.0	2916.0	1823.0	3150.0	582.0	1354.0	1038.0	680.0	1261.0	1442.0	3104.0	1038.0	4218.0	3122.0	522.0	4631.0	5727.0	4300.0	3329.0	3049.0	286.0	433.0	303.0	1960.0	72975.9	1028699.0	1420433.913594
sub-0020	800.0	689.0	2227.0	1272.0	457.0	3052.0	4963.0	2971.0	755.0	5022.0	2813.0	3321.0	1873.0	3368.0	648.0	1320.0	1388.0	859.0	1723.0	1221.0	3423.0	1264.0	4236.0	3420.0	493.0	5244.0	6496.0	4723.0	3426.0	3248.0	249.0	470.0	284.0	2158.0	79769.2	1097813.0	1116386.637573
sub-0021	937.0	916.0	2170.0	2080.0	360.0	3084.0	5929.0	3558.0	1065.0	6588.0	2652.0	3778.0	2266.0	3740.0	607.0	1541.0	1418.0	1033.0	2264.0	1878.0	4192.0	1145.0	4635.0	3826.0	662.0	7466.0	7628.0	4585.0	3900.0	3483.0	386.0	528.0	266.0	2328.0	92879.2	1307087.0	1888793.448063
sub-0022	831.0	693.0	2569.0	1562.0	274.0	3120.0	5330.0	3369.0	881.0	5505.0	2695.0	3189.0	2177.0	3668.0	738.0	1489.0	1615.0	918.0	1533.0	1347.0	4243.0	1227.0	4665.0	3902.0	618.0	6298.0	7129.0	5597.0	3577.0	3344.0	334.0	388.0	335.0	2362.0	87502.4	1163759.0	1644684.158322
sub-0023	764.0	983.0	2258.0	1678.0	336.0	3057.0	5257.0	3676.0	925.0	5515.0	2956.0	3603.0	2440.0	3781.0	739.0	1571.0	1513.0	913.0	1546.0	1856.0	4197.0	1395.0	4392.0	4778.0	625.0	6967.0	7446.0	6787.0	3617.0	4450.0	350.0	408.0	322.0	2572.0	93666.0	1261876.0	1804893.717628
sub-0024	899.0	720.0	2184.0	1539.0	293.0	2825.0	4838.0	2909.0	819.0	5588.0	2301.0	2500.0	1811.0	3566.0	690.0	1776.0	1562.0	711.0	1442.0	1289.0	3576.0	1156.0	5714.0	3952.0	508.0	4976.0	7131.0	5343.0	3592.0	3736.0	365.0	470.0	293.0	2109.0	83156.6	1118986.0	1643269.313583
sub-0025	819.0	593.0	2352.0	1621.0	323.0	2925.0	4919.0	2944.0	833.0	4282.0	2459.0	3122.0	2076.0	2994.0	540.0	1348.0	1295.0	730.0	1164.0	1494.0	3662.0	894.0	4406.0	3773.0	516.0	5371.0	6212.0	5392.0	3033.0	3145.0	334.0	455.0	253.0	1975.0	78234.4	1068488.0	1465085.356993
sub-0026	871.0	848.0	2021.0	1561.0	382.0	2902.0	5236.0	3228.0	953.0	5001.0	2772.0	3207.0	2088.0	3746.0	549.0	1541.0	1603.0	800.0	1659.0	1589.0	3816.0	1216.0	4176.0	3958.0	654.0	6019.0	6370.0	5661.0	3497.0	3607.0	320.0	461.0	305.0	2149.0	84765.5	1088793.0	1532717.570346
sub-0027	1047.0	790.0	2261.0	1489.0	544.0	3599.0	8551.0	4520.0	1124.0	5624.0	2825.0	3240.0	2240.0	4320.0	626.0	1582.0	1591.0	986.0	1525.0	1333.0	4668.0	1320.0	5472.0	4371.0	700.0	7491.0	7631.0	5612.0	4240.0	4549.0	367.0	474.0	408.0	2944.0	100060.0	1345361.0	1813622.09153
sub-0028	852.0	927.0	2182.0	1588.0	444.0	3119.0	5547.0	3639.0	831.0	5511.0	3133.0	2640.0	2277.0	3297.0	496.0	1267.0	1352.0	952.0	1643.0	1253.0	3965.0	1215.0	5193.0	4183.0	776.0	5806.0	6855.0	5572.0	3483.0	3494.0	283.0	487.0	350.0	2226.0	86827.8	1102873.0	1522160.282978
sub-0029	926.0	660.0	2037.0	1555.0	310.0	3118.0	5720.0	3362.0	946.0	4793.0	2606.0	3060.0	2056.0	3498.0	709.0	1589.0	1219.0	763.0	1424.0	1396.0	3910.0	1114.0	5087.0	4308.0	700.0	5684.0	7854.0	5588.0	3645.0	3370.0	371.0	482.0	318.0	2478.0	86508.6	1192209.0	1708574.067385
sub-0030	977.0	715.0	2630.0	1907.0	320.0	3077.0	5727.0	3807.0	836.0	5868.0	2816.0	2715.0	2149.0	4056.0	673.0	1711.0	1604.0	894.0	1649.0	1681.0	4214.0	1094.0	4917.0	3801.0	590.0	7245.0	7263.0	5567.0	3526.0	3098.0	322.0	399.0	286.0	2511.0	90627.2	1267112.0	1811818.846742
sub-0031	648.0	745.0	2152.0	1575.0	432.0	3152.0	5235.0	3566.0	786.0	5486.0	3323.0	2922.0	1916.0	3377.0	595.0	1469.0	1438.0	844.0	1845.0	1394.0	3643.0	1001.0	4892.0	3980.0	637.0	5406.0	7331.0	5620.0	3988.0	3898.0	275.0	459.0	366.0	2390.0	86777.4	1155135.0	1617388.007545
sub-0032	1179.0	892.0	2494.0	2034.0	323.0	3332.0	5787.0	4003.0	1112.0	5339.0	3305.0	3060.0	2076.0	4122.0	767.0	1573.0	1389.0	956.0	1457.0	1572.0	4367.0	1581.0	4758.0	4419.0	766.0	5613.0	7721.0	5293.0	4457.0	3789.0	278.0	455.0	351.0	2400.0	93010.7	1295955.0	1772926.966109
sub-0033	942.0	683.0	1856.0	1305.0	350.0	2607.0	5252.0	3004.0	935.0	4611.0	2549.0	2948.0	1975.0	3490.0	637.0	1600.0	1318.0	1087.0	1878.0	1142.0	4013.0	1451.0	5003.0	3375.0	570.0	6223.0	7621.0	5339.0	4002.0	3428.0	334.0	419.0	437.0	2362.0	84732.8	1120140.0	1590808.412243
sub-0034	952.0	723.0	1916.0	1536.0	275.0	2824.0	5099.0	3113.0	969.0	5636.0	2783.0	2737.0	2040.0	3787.0	576.0	1324.0	1324.0	976.0	1983.0	1317.0	4095.0	1126.0	4540.0	4359.0	557.0	5922.0	6603.0	5135.0	3597.0	3479.0	286.0	435.0	283.0	2732.0	85038.9	1158355.0	1722431.472151
sub-0035	1030.0	712.0	2292.0	1827.0	283.0	4019.0	6734.0	3914.0	821.0	5676.0	2930.0	3567.0	2171.0	4148.0	673.0	1776.0	1673.0	764.0	1961.0	1863.0	4455.0	1052.0	4999.0	4467.0	656.0	6460.0	7930.0	5921.0	4381.0	4207.0	334.0	388.0	435.0	2616.0	97110.8	1266172.0	1303140.161366
sub-0036	843.0	882.0	2067.0	1944.0	357.0	2948.0	4485.0	3170.0	879.0	5404.0	3085.0	2892.0	2128.0	3955.0	602.0	1599.0	1235.0	897.0	1529.0	1591.0	4101.0	1348.0	5028.0	4294.0	647.0	6620.0	7712.0	5226.0	4139.0	3589.0	351.0	424.0	398.0	2341.0	88702.9	1185176.0	1690529.353187
sub-0037	805.0	662.0	2530.0	1377.0	696.0	2813.0	4837.0	3892.0	769.0	5337.0	2602.0	2445.0	2035.0	3355.0	594.0	1648.0	1573.0	806.0	1671.0	1305.0	3883.0	1301.0	4762.0	3744.0	556.0	5593.0	7909.0	5335.0	3406.0	3170.0	260.0	563.0	298.0	2549.0	85074.6	1260345.0	1762522.169334
sub-0038	1032.0	819.0	2427.0	1826.0	385.0	3042.0	6169.0	4182.0	1180.0	5803.0	3216.0	3433.0	2217.0	4546.0	620.0	1385.0	1146.0	782.0	1748.0	1610.0	4414.0	1421.0	4659.0	4657.0	601.0	6554.0	7551.0	6021.0	4234.0	3744.0	341.0	477.0	349.0	2248.0	94835.8	1313497.0	1908608.093269
sub-0039	1220.0	764.0	2287.0	1869.0	618.0	3915.0	7188.0	3882.0	891.0	5086.0	3491.0	3530.0	2350.0	4036.0	721.0	1561.0	1512.0	878.0	1465.0	1648.0	4475.0	1151.0	4760.0	4778.0	667.0	6488.0	9173.0	6422.0	4019.0	4137.0	303.0	508.0	410.0	2444.0	98645.0	1405558.0	1991161.630707
sub-0040	911.0	670.0	1871.0	1847.0	434.0	3367.0	4848.0	3155.0	831.0	6406.0	3225.0	3087.0	2046.0	3172.0	583.0	1472.0	1414.0	1075.0	2060.0	1893.0	3762.0	1043.0	4754.0	3975.0	569.0	6703.0	7224.0	5518.0	3775.0	3296.0	337.0	429.0	432.0	2325.0	88508.6	1101223.0	1458229.049622
sub-0041	868.0	605.0	2400.0	1874.0	468.0	3060.0	5529.0	3821.0	927.0	4929.0	2892.0	3255.0	1976.0	3676.0	521.0	1497.0	1312.0	854.0	1322.0	1709.0	3823.0	1093.0	4954.0	4334.0	528.0	5330.0	6628.0	5971.0	3212.0	3181.0	286.0	492.0	279.0	2109.0	85697.1	1272176.0	1714159.947424
sub-0042	818.0	652.0	2444.0	1617.0	474.0	3637.0	5229.0	3595.0	900.0	5246.0	3085.0	3055.0	2328.0	3806.0	718.0	1671.0	1514.0	953.0	1397.0	1669.0	4665.0	1140.0	5384.0	5161.0	809.0	7777.0	7984.0	6524.0	3738.0	4725.0	321.0	463.0	322.0	2494.0	96310.9	1326070.0	1856705.727164
sub-0043	952.0	711.0	2404.0	1551.0	382.0	3002.0	5749.0	3657.0	955.0	5014.0	3022.0	3260.0	2428.0	3728.0	648.0	1616.0	1527.0	886.0	1727.0	1781.0	3824.0	1369.0	5003.0	3647.0	715.0	6792.0	8057.0	4940.0	3680.0	3528.0	327.0	408.0	335.0	2591.0	90180.6	1257649.0	1513276.1204
sub-0044	1109.0	923.0	2494.0	1528.0	481.0	3203.0	5497.0	4024.0	814.0	4834.0	2614.0	3280.0	2057.0	3548.0	573.0	1792.0	1383.0	796.0	1469.0	1482.0	4397.0	1653.0	5224.0	3846.0	733.0	5919.0	7839.0	5915.0	3708.0	3885.0	391.0	500.0	312.0	2740.0	90956.9	1193209.0	1468002.877136
sub-0045	965.0	593.0	1396.0	1772.0	588.0	2720.0	6544.0	3052.0	868.0	5570.0	2255.0	3382.0	1758.0	2923.0	666.0	1470.0	954.0	807.0	1223.0	1867.0	3632.0	1008.0	4105.0	4070.0	329.0	5566.0	6114.0	5296.0	2955.0	3597.0	372.0	389.0	245.0	1604.0	80634.2	1090944.0	1530878.713819
sub-0046	940.0	738.0	1972.0	1752.0	459.0	3106.0	5818.0	3309.0	889.0	5233.0	3356.0	3011.0	2054.0	4032.0	588.0	1789.0	1285.0	924.0	1378.0	1362.0	4482.0	998.0	5047.0	4784.0	531.0	6685.0	7720.0	5370.0	3757.0	4129.0	301.0	422.0	311.0	2132.0	90661.1	1160547.0	1634381.143677
sub-0047	846.0	633.0	1533.0	1663.0	434.0	3153.0	5283.0	3133.0	844.0	4670.0	2561.0	3213.0	1814.0	3422.0	591.0	1224.0	1149.0	897.0	1744.0	1518.0	3568.0	1027.0	3840.0	4003.0	498.0	6398.0	6448.0	4740.0	3391.0	3353.0	307.0	378.0	300.0	2362.0	80930.5	1153788.0	1565252.440102
sub-0048	879.0	715.0	2825.0	1842.0	435.0	2933.0	6728.0	3550.0	882.0	5036.0	3143.0	3276.0	2220.0	4098.0	718.0	1685.0	1445.0	1062.0	1944.0	1860.0	4402.0	1313.0	5026.0	4609.0	507.0	8398.0	8646.0	6227.0	4131.0	3827.0	394.0	524.0	276.0	2731.0	98287.9	1339154.0	1939637.004362
sub-0049	680.0	629.0	1872.0	1027.0	360.0	2717.0	4333.0	2895.0	715.0	3908.0	2351.0	2243.0	1694.0	3013.0	606.0	1260.0	1156.0	761.0	1284.0	920.0	3304.0	1023.0	4364.0	3265.0	588.0	6350.0	6501.0	4792.0	3350.0	2910.0	291.0	408.0	249.0	1853.0	73673.2	969618.0	1179663.602216
sub-0050	931.0	633.0	1983.0	1584.0	488.0	2775.0	4878.0	3550.0	799.0	4630.0	2838.0	2813.0	1993.0	3129.0	714.0	1487.0	1227.0	912.0	1512.0	1601.0	3757.0	1088.0	4782.0	3785.0	562.0	5738.0	7309.0	4962.0	3404.0	3432.0	330.0	407.0	336.0	2244.0	82600.1	1176473.0	1641305.96793
sub-0051	765.0	460.0	2368.0	1443.0	294.0	2599.0	4960.0	3446.0	964.0	4192.0	2564.0	2490.0	1748.0	3659.0	681.0	1135.0	1395.0	726.0	1462.0	1050.0	3998.0	1111.0	4716.0	3340.0	420.0	5749.0	6751.0	4382.0	3527.0	3272.0	337.0	384.0	344.0	2131.0	78849.7	1077107.0	1553705.335345
sub-0052	916.0	1011.0	2316.0	1507.0	456.0	3208.0	5640.0	3182.0	868.0	5645.0	2412.0	3307.0	2046.0	3584.0	611.0	1448.0	1150.0	774.0	1142.0	1450.0	3943.0	1312.0	4837.0	4020.0	686.0	5486.0	7681.0	5141.0	3698.0	3483.0	370.0	423.0	346.0	2450.0	86546.9	1231332.0	1794545.892208
sub-0053	938.0	725.0	2288.0	1796.0	485.0	2821.0	5273.0	3407.0	986.0	5497.0	3136.0	3335.0	2266.0	3574.0	629.0	1640.0	1491.0	912.0	1641.0	1650.0	3677.0	1326.0	5074.0	4206.0	697.0	6453.0	7255.0	6110.0	4019.0	3832.0	317.0	479.0	388.0	2305.0	90627.9	1235594.0	1713934.322662
sub-0054	976.0	769.0	2498.0	1951.0	453.0	3017.0	4952.0	3508.0	876.0	5605.0	3183.0	3880.0	2114.0	3468.0	697.0	1677.0	1905.0	942.0	1862.0	1881.0	4291.0	1380.0	4707.0	4635.0	456.0	6672.0	8442.0	6065.0	3815.0	4165.0	350.0	505.0	288.0	2508.0	94492.0	1290464.0	1819957.354736
sub-0055	1060.0	654.0	2928.0	1595.0	512.0	3659.0	6155.0	3963.0	1160.0	5986.0	3287.0	3393.0	2198.0	4414.0	549.0	1722.0	1815.0	985.0	2035.0	1276.0	4729.0	1538.0	5359.0	4580.0	636.0	6738.0	7535.0	6421.0	4357.0	5208.0	300.0	423.0	357.0	2977.0	100485.0	1301863.0	1841692.931949
sub-0056	1047.0	879.0	2613.0	1674.0	304.0	3362.0	5479.0	3392.0	1035.0	5285.0	3470.0	2834.0	2022.0	3710.0	653.0	1293.0	1230.0	988.0	1397.0	1551.0	4135.0	1259.0	5726.0	3953.0	683.0	6795.0	6880.0	5918.0	4071.0	3935.0	312.0	429.0	391.0	2340.0	91044.3	1223181.0	1726790.267153
sub-0057	1097.0	632.0	2394.0	1811.0	321.0	2771.0	5760.0	3608.0	1001.0	5312.0	2934.0	3690.0	2309.0	4087.0	724.0	1647.0	1515.0	834.0	1536.0	2066.0	4068.0	1315.0	5561.0	4217.0	566.0	5388.0	7172.0	4916.0	3617.0	4102.0	331.0	558.0	353.0	2787.0	90994.6	1221261.0	1791998.130622
sub-0058	966.0	739.0	1698.0	1482.0	317.0	3155.0	4381.0	3443.0	745.0	4778.0	3161.0	2348.0	2303.0	3827.0	684.0	1719.0	1333.0	936.0	1652.0	1160.0	3845.0	1004.0	4774.0	3726.0	674.0	5715.0	8175.0	4447.0	4071.0	3019.0	337.0	421.0	355.0	2512.0	83781.9	1257269.0	1844712.602704
sub-0059	920.0	837.0	2437.0	2111.0	480.0	2804.0	5473.0	3415.0	1038.0	5481.0	3162.0	3481.0	2173.0	3467.0	573.0	1596.0	2217.0	1130.0	1991.0	1635.0	4202.0	1038.0	6412.0	4712.0	695.0	5741.0	7281.0	4784.0	3769.0	4680.0	309.0	432.0	356.0	2383.0	93213.2	1212318.0	1715027.582758
sub-0060	1127.0	929.0	2330.0	1709.0	449.0	3695.0	6194.0	4211.0	1070.0	5200.0	3019.0	3404.0	2229.0	4507.0	655.0	1527.0	1668.0	1085.0	2141.0	1590.0	4151.0	1736.0	5354.0	4761.0	681.0	6635.0	9331.0	6227.0	3904.0	4469.0	377.0	405.0	339.0	2703.0	99804.8	1341550.0	1955028.391749
sub-0061	960.0	797.0	2499.0	1761.0	453.0	3144.0	5904.0	3495.0	851.0	6020.0	3129.0	3604.0	1810.0	3669.0	669.0	1504.0	1645.0	974.0	1581.0	1698.0	3751.0	1021.0	4775.0	4718.0	589.0	6203.0	7266.0	5627.0	4087.0	3949.0	342.0	482.0	411.0	2286.0	91664.3	1155865.0	1530478.13145
sub-0062	893.0	544.0	1930.0	1823.0	334.0	3044.0	4597.0	3368.0	933.0	5575.0	3208.0	4068.0	2299.0	3986.0	553.0	1739.0	1695.0	928.0	1852.0	1874.0	4177.0	1125.0	5839.0	4626.0	460.0	5942.0	9164.0	5871.0	4082.0	3890.0	328.0	393.0	416.0	2081.0	93634.5	1176317.0	1630497.984109
sub-0063	1004.0	693.0	2101.0	2184.0	368.0	3776.0	7327.0	4027.0	1070.0	6164.0	2567.0	3696.0	2050.0	4221.0	721.0	1487.0	1335.0	830.0	1484.0	1785.0	4579.0	1258.0	5185.0	4409.0	605.0	6535.0	7795.0	6699.0	3696.0	3882.0	269.0	535.0	338.0	2589.0	97257.6	1262379.0	1833881.478629
sub-0064	1093.0	623.0	2252.0	1539.0	361.0	2952.0	5111.0	3048.0	826.0	4184.0	2606.0	2682.0	1906.0	3487.0	591.0	1505.0	1418.0	821.0	1579.0	1148.0	4345.0	1321.0	4793.0	3907.0	568.0	5461.0	6637.0	4973.0	3822.0	4154.0	276.0	407.0	376.0	2455.0	83215.2	1190483.0	1602494.02826
sub-0065	970.0	659.0	1844.0	1708.0	416.0	3166.0	4256.0	3502.0	679.0	5236.0	2428.0	3420.0	1852.0	3502.0	554.0	1651.0	1273.0	704.0	1547.0	1327.0	3645.0	1019.0	4321.0	3829.0	591.0	6293.0	6892.0	5732.0	3750.0	3563.0	331.0	458.0	359.0	2161.0	83640.0	1188109.0	1613425.615346
sub-0066	1112.0	609.0	2751.0	2548.0	574.0	4349.0	7400.0	4084.0	1024.0	7207.0	3706.0	3663.0	2512.0	4440.0	687.0	1695.0	1393.0	1053.0	1782.0	2248.0	4379.0	1125.0	5264.0	4856.0	549.0	7667.0	8200.0	5930.0	4873.0	4391.0	401.0	505.0	436.0	2458.0	105872.0	1392196.0	1996163.825521
sub-0067	922.0	884.0	1939.0	1594.0	380.0	2695.0	5602.0	3235.0	674.0	4521.0	2800.0	2226.0	2139.0	3372.0	545.0	1434.0	1232.0	972.0	1486.0	1228.0	3711.0	1053.0	4415.0	3851.0	658.0	6698.0	6872.0	5175.0	3617.0	3162.0	379.0	460.0	314.0	2294.0	82530.8	1075718.0	1494282.069998
sub-0068	870.0	650.0	1720.0	1595.0	363.0	3152.0	5289.0	2830.0	855.0	5385.0	2525.0	2594.0	1814.0	3133.0	595.0	1503.0	1753.0	859.0	1938.0	1363.0	3832.0	1244.0	4705.0	4056.0	621.0	6396.0	7324.0	6143.0	3475.0	3479.0	304.0	443.0	386.0	2392.0	85566.4	1209364.0	1652767.024274
sub-0069	1078.0	637.0	2344.0	1776.0	320.0	2697.0	6109.0	2877.0	859.0	4933.0	2693.0	3208.0	2068.0	3721.0	634.0	1633.0	1353.0	925.0	1366.0	1567.0	4429.0	1207.0	4714.0	3765.0	644.0	5107.0	6597.0	5244.0	3653.0	3901.0	273.0	363.0	318.0	2812.0	85820.0	1157446.0	1227526.817404
sub-0070	932.0	626.0	1900.0	1321.0	325.0	2941.0	4902.0	2762.0	836.0	4534.0	2896.0	2811.0	2028.0	2953.0	611.0	1361.0	1376.0	721.0	1516.0	1260.0	4235.0	1266.0	4771.0	3817.0	532.0	4695.0	6400.0	4809.0	3615.0	4046.0	277.0	420.0	339.0	2233.0	80058.8	1030235.0	1522426.310774
